person,current,year_start,year_end,num_seasons_total,num_seasons_writer,num_seasons_headwriter,num_seasons_actor,num_seasons_rep,num_seasons_featured,num_seasons_middle,num_seasons_weekend_update,num_episodes_weekend_updates,best_of,num_episodes_hosted
Shelly Gossman,FALSE,2010,2012,2,2,0,0,0,0,0,0,0,0,0
Jonathan Krisel,FALSE,2010,2011,1,1,0,0,0,0,0,0,0,0,0
Sarah Schneider,FALSE,2010,2017,7,7,1,0,0,0,0,0,0,0,0
Zach Kanin,FALSE,2011,2016,5,5,0,0,0,0,0,0,0,0,0
Chris Kelly,FALSE,2011,2017,6,6,1,0,0,0,0,0,0,0,0
Pete Schultz,TRUE,2011,2023,12,12,0,0,0,0,0,0,0,0,0
Neil Casey,FALSE,2012,2013,1,1,0,0,0,0,0,0,0,0,0
Josh Patten,TRUE,2012,2023,11,11,0,0,0,0,0,0,0,0,0
Claire Mulaney,FALSE,2013,2015,2,2,0,0,0,0,0,0,0,0,0
Katie Rich,FALSE,2013,2019,6,6,0,0,0,0,0,0,0,0,0
LaKendra Tookes,FALSE,2013,2014,1,1,0,0,0,0,0,0,0,0,0
Jeremy Beiler,FALSE,2014,2017,2,2,0,0,0,0,0,0,0,0,0
Dave McCary,FALSE,2014,2018,3,3,0,0,0,0,0,0,0,0,0
Natasha Rothwell,FALSE,2014,2015,1,1,0,0,0,0,0,0,0,0,0
Nicholas Rutherford,FALSE,2014,2015,1,1,0,0,0,0,0,0,0,0,0
Meredith Scardino,FALSE,2014,2015,1,1,0,0,0,0,0,0,0,0,0
Chris Belair,FALSE,2015,2016,1,1,0,0,0,0,0,0,0,0,0
Paul Masella,FALSE,2015,2016,1,1,0,0,0,0,0,0,0,0,0
Dave Sirus,FALSE,2015,2016,1,1,0,0,0,0,0,0,0,0,0
Will Stephen,TRUE,2015,2023,8,8,0,0,0,0,0,0,0,0,0
Kristen Bartlett,FALSE,2016,2018,2,2,0,0,0,0,0,0,0,0,0
Zack Bornstein,FALSE,2016,2017,1,1,0,0,0,0,0,0,0,0,0
Joanna Bradley,FALSE,2016,2017,1,1,0,0,0,0,0,0,0,0,0
Anna Drezen,TRUE,2016,2022,6,6,2,0,0,0,0,0,0,0,0
Nick Kocher,FALSE,2016,2018,2,2,0,0,0,0,0,0,0,0,0
Michael Koman,FALSE,2016,2019,3,3,0,0,0,0,0,0,0,0,0
Brian McElhaney,FALSE,2016,2018,2,2,0,0,0,0,0,0,0,0,0
Drew Michael,FALSE,2016,2018,2,2,0,0,0,0,0,0,0,0,0
Julio Torres,FALSE,2016,2019,3,3,0,0,0,0,0,0,0,0,0
Steven Castillo,TRUE,2017,2022,5,5,0,0,0,0,0,0,0,0,0
Claire Friedman,FALSE,2017,2018,1,1,0,0,0,0,0,0,0,0,0
Fran Gillespie,TRUE,2015,2021,6,6,0,0,0,0,0,0,0,0,0
Sudi Green,TRUE,2015,2021,6,6,0,0,0,0,0,0,0,0,0
Sam Jay,TRUE,2017,2021,4,4,0,0,0,0,0,0,0,0,0
Erik Marino,FALSE,2017,2018,1,1,0,0,0,0,0,0,0,0,0
Nimesh Patel,FALSE,2017,2018,1,1,0,0,0,0,0,0,0,0,0
Gary Richardson,FALSE,2017,2021,4,4,0,0,0,0,0,0,0,0,0
Streeter Seidell,TRUE,2014,2023,7,7,2,0,0,0,0,0,0,0,0
Megan Callahan-Shah,TRUE,2015,2021,6,6,0,0,0,0,0,0,0,0,0
Alison Gates,FALSE,2018,2021,3,3,0,0,0,0,0,0,0,0,0
Alan Linic,FALSE,2018,2019,1,1,0,0,0,0,0,0,0,0,0
Eli Coyote Mandel,FALSE,2018,2019,1,1,0,0,0,0,0,0,0,0,0
Dan Bulla,FALSE,2019,2021,2,2,0,0,0,0,0,0,0,0,0
Emma Clark,FALSE,2019,2021,2,2,0,0,0,0,0,0,0,0,0
Dan Licata,FALSE,2019,2021,2,2,0,0,0,0,0,0,0,0,0
Jasmine Pierce,FALSE,2019,2023,4,4,0,0,0,0,0,0,0,0,0
Mark Steinbach,TRUE,2019,2023,4,4,0,0,0,0,0,0,0,0,0
Celeste Yim,TRUE,2020,2023,3,3,0,0,0,0,0,0,0,0,0
Aristotle Athari,FALSE,2021,2022,1,0,0,1,0,1,0,0,0,0,0
Marcello Hernandez,TRUE,2022,2023,1,0,0,1,0,1,0,0,0,0,0
Molly Kearney,TRUE,2022,2023,1,0,0,1,0,1,0,0,0,0,0
Michael Longfellow (II),TRUE,2022,2023,1,0,0,1,0,1,0,0,0,0,0
Devon Walker (VI),TRUE,2022,2023,1,0,0,1,0,1,0,0,0,0,0
Nicole Sun (I),TRUE,2021,2023,2,2,0,0,0,0,0,0,0,0,0
Clare O'Kane (I),TRUE,2021,2023,2,2,0,0,0,0,0,0,0,0,0
Rosebud Baker,TRUE,2021,2023,2,2,0,0,0,0,0,0,0,0,0
Mike DiCenzo,TRUE,2021,2023,2,2,0,0,0,0,0,0,0,0,0
Billy Domineau,TRUE,2021,2023,2,2,0,0,0,0,0,0,0,0,0
Sarah Sherman,TRUE,2021,2023,2,2,0,2,0,2,0,0,0,0,0
James Austin Johnson,TRUE,2021,2023,2,2,0,2,0,2,0,0,0,0,0
Alex English (X),TRUE,2021,2023,2,2,0,0,0,0,0,0,0,0,0
Martin Herlihy,TRUE,2021,2023,2,2,0,0,0,0,0,0,0,0,0
John Higgins (XV),TRUE,2021,2023,2,2,0,0,0,0,0,0,0,0,0
Vannessa Jackson,TRUE,2021,2023,2,2,0,0,0,0,0,0,0,0,0
Tesha Kondrat (II),TRUE,2021,2023,2,2,0,0,0,0,0,0,0,0,0
Jake Nordwind,TRUE,2021,2023,2,2,0,0,0,0,0,0,0,0,0
Ben Silva (V),TRUE,2021,2023,2,2,0,0,0,0,0,0,0,0,0
Ben Marshall (IV),TRUE,2021,2023,2,2,0,0,0,0,0,0,0,0,0
 ,,,,,,,,,,,,,,
