person,num_credits,potential_percent,def_percent,snl_percent,year_start,year_end,num_seasons_total,num_seasons_writer,num_seasons_headwriter,num_seasons_actor,num_seasons_rep,num_seasons_featured,num_seasons_middle,num_seasons_weekend_update,num_episodes_weekend_updates,best_of,num_episodes_hosted,imdb_link,num_episodes_writer,num_episodes_actor,num_episodes_other,coefficient
A. Whitney Brown,30,0.8333333333333334,0.43333333333333335,0.06666666666666667,1985.0,1991.0,6.0,6.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0112944/?ref_=fn_nm_nm_1,111.0,44.0,22.0,0.1109010510125608
Michael O'Donoghue,39,0.8974358974358975,0.5897435897435898,0.07692307692307693,1975.0,1982.0,5.0,5.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0640874/?ref_=fn_nm_nm_1,94.0,35.0,12.0,0.1593815804805294
Mikey Day,28,0.8571428571428571,0.4642857142857143,0.17857142857142858,2013.0,2021.0,8.0,4.0,0.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm1510062/?ref_=fn_nm_nm_1,63.0,108.0,0.0,0.0847045046724616
Phil Hartman,173,0.7514450867052023,0.2947976878612717,0.023121387283236993,1986.0,1994.0,8.0,3.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,1.0,2.0,https://www.imdb.com/name/nm0367005/?ref_=fn_nm_nm_1,0.0,152.0,14.0,0.1180396634895481
Jim Belushi,267,0.5543071161048689,0.04119850187265917,0.00749063670411985,1983.0,1985.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0000902/?ref_=fn_nm_nm_1,32.0,33.0,2.0,0.100194472279835
Andrew Dismukes,4,0.75,0.25,0,2017.0,2021.0,4.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm8608160/?ref_=fn_nm_nm_1,64.0,25.0,0.0,0.0363651219966908
Robin Duke,66,0.6363636363636364,0.12121212121212122,0.030303030303030304,1981.0,1984.0,3.0,2.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0241208/?ref_=fn_nm_nm_1,39.0,59.0,2.0,0.135376593414276
Leslie Jones,77,0.8571428571428571,0.15584415584415584,0.09090909090909091,2013.0,2019.0,6.0,2.0,0.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0428656/?ref_=fn_nm_nm_1,32.0,105.0,0.0,0.0967973635353794
Peter Aykroyd,21,0.8095238095238095,0.14285714285714285,0.047619047619047616,1979.0,1980.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0043839/?ref_=fn_nm_nm_1,20.0,16.0,0.0,0.0904888024049777
John Belushi,116,0.8793103448275862,0.35344827586206895,0.0603448275862069,1975.0,1979.0,4.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,https://www.imdb.com/name/nm0000004/?ref_=fn_nm_nm_1,23.0,78.0,11.0,0.107152361865256
Rich Hall,131,0.42748091603053434,0.04580152671755725,0.015267175572519083,1984.0,1985.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0356025/?ref_=fn_nm_nm_1,18.0,16.0,2.0,0.0953026030621519
