relationship,count
"('Jimmy Fallon', 'Michael McKean')",31
"('Jimmy Fallon', 'Rachel Dratch')",59
"('Michael McKean', 'Rachel Dratch')",22
"('Jordan Black', 'Max Pross')",2
"('Jordan Black', 'Tom Gammill')",2
"('Ana Gasteyer', 'Casey Wilson')",27
"('Ana Gasteyer', 'Damon Wayans')",15
"('Ana Gasteyer', 'Hannibal Buress')",12
"('Ana Gasteyer', 'Jason Sudeikis')",38
"('Ana Gasteyer', 'Laurie Metcalf')",19
"('Ana Gasteyer', 'Martin Short')",41
"('Ana Gasteyer', 'Molly Shannon')",60
"('Ana Gasteyer', 'Will Ferrell')",65
"('Casey Wilson', 'Damon Wayans')",12
"('Casey Wilson', 'Hannibal Buress')",16
"('Casey Wilson', 'Jason Sudeikis')",30
"('Casey Wilson', 'Laurie Metcalf')",15
"('Casey Wilson', 'Martin Short')",22
"('Casey Wilson', 'Molly Shannon')",24
"('Casey Wilson', 'Will Ferrell')",32
"('Damon Wayans', 'Hannibal Buress')",8
"('Damon Wayans', 'Jason Sudeikis')",25
"('Damon Wayans', 'Laurie Metcalf')",13
"('Damon Wayans', 'Martin Short')",25
"('Damon Wayans', 'Molly Shannon')",22
"('Damon Wayans', 'Will Ferrell')",27
"('Hannibal Buress', 'Jason Sudeikis')",23
"('Hannibal Buress', 'Laurie Metcalf')",9
"('Hannibal Buress', 'Martin Short')",18
"('Hannibal Buress', 'Molly Shannon')",20
"('Jason Sudeikis', 'Laurie Metcalf')",22
"('Jason Sudeikis', 'Martin Short')",47
"('Jason Sudeikis', 'Molly Shannon')",48
"('Laurie Metcalf', 'Martin Short')",28
"('Laurie Metcalf', 'Molly Shannon')",23
"('Laurie Metcalf', 'Will Ferrell')",20
"('Martin Short', 'Molly Shannon')",47
"('Martin Short', 'Will Ferrell')",67
"('Molly Shannon', 'Will Ferrell')",81
"('Gilbert Gottfried', 'Hannibal Buress')",20
"('Gilbert Gottfried', 'Tina Fey')",26
"('Gilbert Gottfried', 'Will Ferrell')",30
"('Hannibal Buress', 'Tina Fey')",20
"('Tina Fey', 'Will Ferrell')",103
"('Christine Nangle', 'Fran Gillespie')",5
"('Christine Nangle', 'Heather Anne Campbell')",5
"('Christine Nangle', 'Ryan Perez (I)')",7
"('Fran Gillespie', 'Heather Anne Campbell')",3
"('Fran Gillespie', 'Ryan Perez (I)')",5
"('Heather Anne Campbell', 'Ryan Perez (I)')",8
"('Eddie Murphy', 'J.B. Smoove')",27
"('Andy Samberg', 'Chris Rock')",46
"('Andy Samberg', 'David Koechner')",20
"('Andy Samberg', 'David Spade')",52
"('Andy Samberg', 'Seth Meyers')",67
"('Andy Samberg', 'Tracy Morgan')",58
"('Chris Rock', 'David Koechner')",25
"('Chris Rock', 'David Spade')",77
"('Chris Rock', 'Seth Meyers')",50
"('Chris Rock', 'Tracy Morgan')",74
"('David Koechner', 'David Spade')",29
"('David Koechner', 'Seth Meyers')",18
"('David Koechner', 'Tracy Morgan')",23
"('David Spade', 'Seth Meyers')",47
"('David Spade', 'Tracy Morgan')",50
"('Seth Meyers', 'Tracy Morgan')",57
"('Chevy Chase', 'Jon Vitti')",3
"('Bill Murray', 'Brian Doyle-Murray')",24
"('Bill Murray', 'Dan Aykroyd')",91
"('Brian Doyle-Murray', 'Dan Aykroyd')",15
"('Bobby Moynihan', 'Stephen Colbert')",19
"('Brian McConnachie', 'Mitchell Kriegman')",2
"('Brian McConnachie', 'Patricia Marx')",2
"('Mitchell Kriegman', 'Patricia Marx')",4
"('Doug Abeles', 'Hannibal Buress')",5
"('Doug Abeles', 'Julia Louis-Dreyfus')",2
"('Doug Abeles', 'Paul Shaffer')",2
"('Doug Abeles', 'Rob Riggle')",3
