person,current,year_start,year_end,num_seasons_total,num_seasons_writer,num_seasons_headwriter,num_seasons_actor,num_seasons_rep,num_seasons_featured,num_seasons_middle,num_seasons_weekend_update,num_episodes_weekend_updates,best_of,num_episodes_hosted,imdb_link
Megan Callahan-Shah,TRUE,2015,2021,6,6,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm4916386/?ref_=fn_nm_nm_1
Alison Gates,FALSE,2018,2021,3,3,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm10384188/?ref_=fn_nm_nm_0
Alan Linic,FALSE,2018,2019,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm7860442/?ref_=fn_nm_nm_1
Eli Coyote Mandel,FALSE,2018,2019,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm8881698/?ref_=fn_nm_nm_1
Dan Bulla,FALSE,2019,2021,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm4674057/?ref_=fn_nm_nm_0
Emma Clark,FALSE,2019,2021,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm8485344/?ref_=fn_nm_nm_0
Dan Licata,FALSE,2019,2021,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm3915994/?ref_=fn_nm_nm_1
Jasmine Pierce,FALSE,2019,2023,4,4,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm5276392/?ref_=fn_nm_nm_1
Mark Steinbach,TRUE,2019,2023,4,4,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm9184163/?ref_=fn_nm_nm_1
Celeste Yim,TRUE,2020,2023,3,3,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm11940589/?ref_=fn_nm_nm_0
Aristotle Athari,FALSE,2021,2022,1,0,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm2776607/?ref_=fn_nm_nm_0
Marcello Hernandez,TRUE,2022,2023,1,0,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm13575138/?ref_=fn_nm_nm_0
Molly Kearney,TRUE,2022,2023,1,0,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm11579141/?ref_=fn_nm_nm_1
Michael Longfellow (II),TRUE,2022,2023,1,0,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm9089655/?ref_=fn_al_nm_0
Devon Walker (VI),TRUE,2022,2023,1,0,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm6698127/?ref_=fn_al_nm_1
Nicole Sun (I),TRUE,2021,2023,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm4710100/?ref_=fn_al_nm_10
Clare O'Kane (I),TRUE,2021,2023,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1567818/?ref_=fn_nm_nm_1
Rosebud Baker,TRUE,2021,2023,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm3497327/?ref_=fn_nm_nm_0
Mike DiCenzo,TRUE,2021,2023,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm3355350/?ref_=fn_nm_nm_1
Billy Domineau,TRUE,2021,2023,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm2401797/?ref_=fn_nm_nm_0
Sarah Sherman,TRUE,2021,2023,2,2,0,2,0,2,0,0,0,0,0,https://www.imdb.com/name/nm7567645/?ref_=fn_nm_nm_1
James Austin Johnson,TRUE,2021,2023,2,2,0,2,0,2,0,0,0,0,0,https://www.imdb.com/name/nm4562498/?ref_=fn_nm_nm_0
Alex English (X),TRUE,2021,2023,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm8643737/?ref_=nv_sr_srsg_1
Martin Herlihy,TRUE,2021,2023,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm11958939/?ref_=fn_nm_nm_0
John Higgins (XV),TRUE,2021,2023,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm3769182/?ref_=fn_al_nm_3
Vannessa Jackson,TRUE,2021,2023,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm7781354/?ref_=fn_nm_nm_1
Tesha Kondrat (II),TRUE,2021,2023,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm4871773/?ref_=fn_al_nm_0
Jake Nordwind,TRUE,2021,2023,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm4053310/?ref_=fn_nm_nm_0
Ben Silva (V),TRUE,2021,2023,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm11131504/?ref_=fn_nm_nm_1
Ben Marshall (IV),TRUE,2021,2023,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm2951652/?ref_=fn_nm_nm_1
