index,imdb_link,movie_coefficient,title,media_type,credits_count,snl_alums,cast_count,genres,stars,num_episodes,principal_people,production_companies,medium,year_start,year_end
3358,https://www.imdb.com/title/tt7759806/,0.3620458600999285,The Goldbergs: 1990-Something,"['TV Movie', '20182018', 'TV-PGTV-PG', '22m']",2,"['Ana Gasteyer', 'Tim Meadows']",2,['Comedy'],"['Tim Meadows', 'Bryan Callen', 'Rachel Crow', 'Summer Parker', 'Octavia Spencer', 'Nia Long', 'Wendi McLendon-Covey', 'Stephen Tobolowsky', 'Kevin Heffernan', 'Missi Pyle', 'Sean Marquette', 'Tanner Buchanan', 'Michael Bunin', 'Ana Gasteyer', 'Irene Roseen', 'William McMullen', 'Justin Tinucci', 'Miles Platt']",0,"['Jay Chandrasekhar', 'Marc Firek', 'Adam F. Goldberg', 'Tim Meadows', 'Bryan Callen', 'Rachel Crow', 'Jay Chandrasekhar', 'Marc Firek', 'Adam F. Goldberg', 'Tim Meadows', 'Bryan Callen', 'Rachel Crow']","['Happy Madison Productions', 'Adam F. Goldberg Productions', 'Sony Pictures Television', '']",['TV Movie'],2018.0,2018.0
3375,https://www.imdb.com/title/tt8009428/,0.3671181299072091,Hustle,"['20222022', 'RR', '1h 57m']",3,"['Adam Sandler', 'Heidi Gardner']",2,"['Comedy', 'Drama', 'Sport']","['Adam Sandler', 'Queen Latifah', 'Juancho Hernangomez', 'Ben Foster', 'Kenny Smith', 'Anthony Edwards', 'Robert Duvall', 'Jordan Hull', 'María Botto', 'Ainhoa Pillet', 'Raúl Castillo', 'Heidi Gardner', 'Jaleel White', 'Elvin Rodriguez', 'Moe Wagner', 'Boban Marjanovic', 'Michael Foster Jr.', 'Julius Erving']",0,"['Jeremiah Zagar', 'Taylor Materne', 'Will Fetters', 'Adam Sandler', 'Queen Latifah', 'Juancho Hernangomez', 'Jeremiah Zagar', 'Taylor Materne', 'Will Fetters', 'Adam Sandler', 'Queen Latifah', 'Juancho Hernangomez']","['Happy Madison Productions', 'Kirschenbaum Productions', 'Roth Films', '']",['Film'],2022.0,2022.0
3446,https://www.imdb.com/title/tt0852713/,0.3879009635974304,The House Bunny,"['20082008', 'PG-13PG-13', '1h 37m']",2,"['Fred Wolf', 'Adam Sandler']",2,"['Comedy', 'Romance']","['Anna Faris', 'Colin Hanks', 'Emma Stone', 'Kat Dennings', 'Hugh Hefner', 'Christopher McDonald', ""Beverly D'Angelo"", 'Katharine McPhee', 'Rumer Willis', 'Kiely Williams', 'Dana Goodman', 'Kimberly Makkouk', 'Monet Mazur', 'Tyson Ritter', 'Sarah Wright', 'Rachel Specter', 'Owen Benjamin', 'Holly Madison']",0,"['Fred Wolf', 'Karen McCullah', 'Kirsten Smith', 'Anna Faris', 'Colin Hanks', 'Emma Stone', 'Fred Wolf', 'Karen McCullah', 'Kirsten Smith', 'Anna Faris', 'Colin Hanks', 'Emma Stone']","['Columbia Pictures', 'Relativity Media', 'Happy Madison Productions', '']",['Film'],2008.0,2008.0
3477,https://www.imdb.com/title/tt0233157/,0.3949960296216988,Adam Sandler: What the Hell Happened to Me?,"['TV Special', '19961996', '1h']",4,"['Adam Sandler', 'Chris Farley']",2,['Music'],"['Brooks Arthur', 'Sanetta Y. Gipson', 'Adam Sandler', 'Chris Farley']",0,"['Keith Truesdell', 'Adam Sandler', 'Brooks Arthur', 'Sanetta Y. Gipson', 'Adam Sandler', 'Keith Truesdell', 'Adam Sandler', 'Brooks Arthur', 'Sanetta Y. Gipson', 'Adam Sandler']","['Happy Madison Productions', 'Production Partners', '']",['TV Special'],1996.0,1996.0
3658,https://www.imdb.com/title/tt9036126/,0.4409149417083036,Adam Sandler: 100% Fresh,"['TV Special', '20182018', 'TV-MATV-MA', '1h 13m']",3,"['Adam Sandler', 'Rob Schneider']",2,"['Comedy', 'Music']","['Adam Sandler', 'Rob Schneider', 'Dan Bulla']",0,"['Steven Brill', 'Nicholaus Goossen', 'Adam Sandler', 'Adam Sandler', 'Rob Schneider', 'Dan Bulla', 'Steven Brill', 'Nicholaus Goossen', 'Adam Sandler', 'Adam Sandler', 'Rob Schneider', 'Dan Bulla']","['Happy Madison Productions', 'Irwin Entertainment', '']",['TV Special'],2018.0,2018.0
3668,https://www.imdb.com/title/tt0280590/,0.44336920312022,Mr. Deeds,"['20022002', 'PG-13PG-13', '1h 36m']",5,"['Tim Herlihy', 'Adam Sandler', 'Rob Schneider']",3,"['Comedy', 'Romance']","['Adam Sandler', 'Winona Ryder', 'John Turturro', 'Allen Covert', 'Peter Gallagher', 'Jared Harris', 'Erick Avari', 'Peter Dante', 'Conchata Ferrell', 'Harve Presnell', 'Steve Buscemi', 'Blake Clark', 'John McEnroe', 'J.B. Smoove', 'Tom McNulty', 'Buddy Bolton', 'Angelito Bautista', 'Scott Thompson Baker']",0,"['Steven Brill', 'Clarence Budington Kelland', 'Robert Riskin', 'Tim Herlihy', 'Adam Sandler', 'Winona Ryder', 'John Turturro', 'Steven Brill', 'Clarence Budington Kelland', 'Robert Riskin', 'Tim Herlihy', 'Adam Sandler', 'Winona Ryder', 'John Turturro']","['Columbia Pictures', 'New Line Cinema', 'Happy Madison Productions', '']",['Film'],2002.0,2002.0
3669,https://www.imdb.com/title/tt0960731/,0.44336920312022,Bedtime Stories,"['20082008', 'PGPG', '1h 39m']",5,"['Tim Herlihy', 'Adam Sandler', 'Rob Schneider']",3,"['Adventure', 'Comedy', 'Family']","['Adam Sandler', 'Keri Russell', 'Courteney Cox', 'Guy Pearce', 'Russell Brand', 'Richard Griffiths', 'Teresa Palmer', 'Lucy Lawless', 'Jonathan Morgan Heit', 'Laura Ann Kesling', 'Jonathan Pryce', 'Nick Swardson', 'Kathryn Joosten', 'Allen Covert', 'Carmen Electra', 'Tim Herlihy', 'Thomas Hoffman', 'Abigail Droeger']",0,"['Adam Shankman', 'Matt Lopez', 'Tim Herlihy', 'Adam Sandler', 'Keri Russell', 'Courteney Cox', 'Adam Shankman', 'Matt Lopez', 'Tim Herlihy', 'Adam Sandler', 'Keri Russell', 'Courteney Cox']","['Walt Disney Pictures', 'Happy Madison Productions', 'Gunn Films', '']",['Film'],2008.0,2008.0
3698,https://www.imdb.com/title/tt7256866/,0.4519930066958972,Father of the Year,"['20182018', 'TV-14TV-14', '1h 34m']",3,"['Kevin Nealon', 'Melanie Hutsell', 'David Spade']",3,['Comedy'],"['David Spade', 'Nat Faxon', 'Joey Bragg', 'Matt Shively', 'Bridgit Mendler', 'Jackie Sandler', 'Mary Gillis', 'Jared Sandler', 'Bill Kottkamp', 'Kevin Nealon', 'Peyton Russ', 'Melanie Hutsell', 'Allen Covert', 'Moses Storm', 'Chris Titone', 'Ashley Rae Spillers', 'Edward James Gage', 'Amanda Soucy']",0,"['Tyler Spindel', 'Brandon Cournoyer', 'Tyler Spindel', 'David Spade', 'Nat Faxon', 'Joey Bragg', 'Tyler Spindel', 'Brandon Cournoyer', 'Tyler Spindel', 'David Spade', 'Nat Faxon', 'Joey Bragg']","['Happy Madison Productions', '424 Post', '']",['Film'],2018.0,2018.0
3770,https://www.imdb.com/title/tt0302640/,0.475002890792291,The Hot Chick,"['20022002', 'PG-13PG-13', '1h 44m']",5,"['Ian Maxtone-Graham', 'Adam Sandler', 'Rob Schneider']",3,"['Comedy', 'Fantasy']","['Rob Schneider', 'Rachel McAdams', 'Anna Faris', 'Matthew Lawrence', 'Eric Christian Olsen', 'Robert Davi', 'Melora Hardin', 'Alexandra Holden', 'Maritza Murray', 'Fay Hauser', 'Jodi Long', 'Tia Mowry-Hardrict', 'Tamera Mowry-Housley', 'Lee Garlington', 'Angie Stone', 'Matt Weinberg', 'Leila Kenzle', 'Michelle Branch']",0,"['Tom Brady', 'Tom Brady', 'Rob Schneider', 'Rob Schneider', 'Rachel McAdams', 'Anna Faris', 'Tom Brady', 'Tom Brady', 'Rob Schneider', 'Rob Schneider', 'Rachel McAdams', 'Anna Faris']","['Touchstone Pictures', 'Happy Madison Productions', '']",['Film'],2002.0,2002.0
3836,https://www.imdb.com/title/tt1086772/,0.5052020948755422,Blended,"['20142014', 'PG-13PG-13', '1h 57m']",6,"['Kevin Nealon', 'Adam Sandler', 'Tim Herlihy', 'Steve Koren']",4,"['Comedy', 'Romance']","['Adam Sandler', 'Drew Barrymore', 'Wendi McLendon-Covey', 'Kevin Nealon', 'Terry Crews', 'Bella Thorne', 'Joel McHale', 'Abdoulaye NGom', 'Jessica Lowe', 'Braxton Beckham', 'Emma Fuhrmann', 'Alyvia Alyn Lind', 'Kyle Red Silverstein', 'Zak Henri', ""Shaquille O'Neal"", 'Dan Patrick', 'Jackie Sandler', 'Sunny Sandler']",0,"['Frank Coraci', 'Ivan Menchell', 'Clare Sera', 'Adam Sandler', 'Drew Barrymore', 'Wendi McLendon-Covey', 'Frank Coraci', 'Ivan Menchell', 'Clare Sera', 'Adam Sandler', 'Drew Barrymore', 'Wendi McLendon-Covey']","['Gulfstream Pictures', 'Happy Madison Productions', 'Karz Entertainment', '']",['Film'],2014.0,2014.0
