person,num_credits,potential_percent,def_percent,snl_percent,current,year_start,year_end,num_seasons_total,num_seasons_writer,num_seasons_headwriter,num_seasons_actor,num_seasons_rep,num_seasons_featured,num_seasons_middle,num_seasons_weekend_update,num_episodes_weekend_updates,best_of,num_episodes_hosted,imdb_link,num_episodes_writer,num_episodes_actor,num_episodes_other,coefficient
Jim Breuer,111,0.6666666666666666,0.16216216216216217,0.02702702702702703,False,1995.0,1998.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0108028/?ref_=fn_nm_nm_1,0.0,57.0,3.0,0.1004532637319102
Paul Brittain,18,0.8333333333333334,0.3333333333333333,0.16666666666666666,False,2010.0,2012.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm4204968/?ref_=fn_nm_nm_0,0.0,34.0,0.0,0.0914102444594626
Aidy Bryant,88,0.9431818181818182,0.3068181818181818,0.125,False,2012.0,2022.0,10.0,0.0,0.0,10.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm5262775/?ref_=fn_nm_nm_1,0.0,203.0,3.0,0.1257899955722309
Beth Cahill,17,0.8823529411764706,0.35294117647058826,0,False,1991.0,1992.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0128639/?ref_=fn_nm_nm_1,0.0,13.0,0.0,0.0877012887138496
Dana Carvey,196,0.8928571428571429,0.3112244897959184,0.08163265306122448,False,1986.0,1993.0,7.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,1.0,4.0,https://www.imdb.com/name/nm0001022/?ref_=fn_nm_nm_0,0.0,130.0,8.0,0.1140404558271771
Ellen Cleghorne,70,0.7428571428571429,0.24285714285714285,0.04285714285714286,False,1991.0,1995.0,4.0,0.0,0.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0165971/?ref_=fn_nm_nm_0,0.0,77.0,3.0,0.1015362610985528
George Coe,137,0.44525547445255476,0.014598540145985401,0,False,1975.0,1975.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0168642/?ref_=fn_nm_nm_1,0.0,10.0,0.0,0.0923234135769383
Joan Cusack,134,0.5,0.05970149253731343,0.022388059701492536,False,1985.0,1986.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0000349/?ref_=fn_nm_nm_1,0.0,17.0,1.0,0.0932325044860292
Pete Davidson,104,0.7403846153846154,0.1346153846153846,0.04807692307692308,False,2014.0,2022.0,8.0,0.0,0.0,8.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0203457/?ref_=fn_nm_nm_1,0.0,160.0,4.0,0.1175235079583323
Denny Dillon,56,0.5,0.07142857142857142,0.017857142857142856,False,1980.0,1981.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0226986/?ref_=fn_nm_nm_0,0.0,13.0,0.0,0.0927012887138496
Robert Downey Jr.,404,0.5024752475247525,0.022277227722772276,0.017326732673267328,False,1985.0,1986.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,https://www.imdb.com/name/nm0000375/?ref_=fn_nm_nm_1,0.0,16.0,3.0,0.0931613106196546
Rachel Dratch,226,0.7876106194690266,0.2168141592920354,0.06637168141592921,False,1999.0,2006.0,7.0,0.0,0.0,7.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0237222/?ref_=fn_nm_nm_0,0.0,145.0,6.0,0.1144464955705663
Nora Dunn,167,0.6586826347305389,0.15568862275449102,0.03592814371257485,False,1985.0,1990.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0004887/?ref_=fn_nm_nm_1,0.0,88.0,3.0,0.1064856330544615
Dean Edwards,67,0.6567164179104478,0.13432835820895522,0.014925373134328358,False,2001.0,2003.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0249931/?ref_=fn_nm_nm_1,0.0,40.0,0.0,0.0921659947332851
Abby Elliott,73,0.8493150684931506,0.2465753424657534,0.0136986301369863,False,2008.0,2012.0,4.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm2212031/?ref_=fn_nm_nm_0,0.0,81.0,0.0,0.1019579478455407
Chris Elliott,106,0.7358490566037735,0.05660377358490566,0.03773584905660377,False,1994.0,1995.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0254402/?ref_=fn_nm_nm_0,0.0,19.0,1.0,0.09348442124397
Siobhan Fallon Hogan,84,0.5119047619047619,0.09523809523809523,0.023809523809523808,False,1991.0,1992.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0266441/?ref_=fn_nm_nm_0,0.0,20.0,0.0,0.0885829973666425
Chris Farley,94,0.9787234042553191,0.4574468085106383,0.10638297872340426,False,1990.0,1995.0,5.0,0.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0,1.0,1.0,https://www.imdb.com/name/nm0000394/?ref_=fn_nm_nm_0,0.0,96.0,7.0,0.1246028291114166
Will Ferrell,545,0.7963302752293578,0.14678899082568808,0.04036697247706422,False,1995.0,2002.0,7.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,1.0,5.0,https://www.imdb.com/name/nm0002071/?ref_=fn_nm_nm_1,0.0,140.0,11.0,0.1153821863857752
Chloe Fineman,26,0.7692307692307693,0.07692307692307693,0,True,2019.0,2023.0,4.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm4806887/?ref_=fn_nm_nm_1,0.0,55.0,4.0,0.0987925590175013
Will Forte,228,0.8070175438596491,0.23684210526315788,0.11403508771929824,False,2002.0,2010.0,8.0,0.0,0.0,8.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0287182/?ref_=fn_nm_nm_1,0.0,156.0,4.0,0.1176446744424506
Heidi Gardner,47,0.8085106382978723,0.1702127659574468,0.0851063829787234,True,2017.0,2023.0,6.0,0.0,0.0,6.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm5906920/?ref_=fn_nm_nm_1,0.0,99.0,2.0,0.1072409560874057
Janeane Garofalo,337,0.6379821958456974,0.020771513353115726,0.011869436201780416,False,1994.0,1995.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0000413/?ref_=fn_nm_nm_1,0.0,14.0,0.0,0.09282724709282
Ana Gasteyer,196,0.8571428571428571,0.24489795918367346,0.05102040816326531,False,1996.0,2002.0,6.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0309430/?ref_=fn_nm_nm_1,0.0,121.0,4.0,0.1117334716040176
Gilbert Gottfried,403,0.5905707196029777,0.03722084367245657,0.02481389578163772,False,1980.0,1981.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0331906/?ref_=fn_nm_nm_1,0.0,13.0,0.0,0.0927012887138496
