person,current,year_start,year_end,num_seasons_total,num_seasons_writer,num_seasons_headwriter,num_seasons_actor,num_seasons_rep,num_seasons_featured,num_seasons_middle,num_seasons_weekend_update,num_episodes_weekend_updates,best_of,num_episodes_hosted,imdb_link,num_episodes_writer,num_episodes_actor
Megan Callahan-Shah,True,2015,2021,6,6,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm4916386/?ref_=fn_nm_nm_1,146,0
Alison Gates,False,2018,2021,3,3,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm10384188/?ref_=fn_nm_nm_0,80,2
Alan Linic,False,2018,2019,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm7860442/?ref_=fn_nm_nm_1,21,0
Eli Coyote Mandel,False,2018,2019,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm8881698/?ref_=fn_nm_nm_1,21,0
Dan Bulla,False,2019,2021,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm4674057/?ref_=fn_nm_nm_0,60,0
Emma Clark,False,2019,2021,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm8485344/?ref_=fn_nm_nm_0,27,0
Dan Licata,False,2019,2021,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm3915994/?ref_=fn_nm_nm_1,39,0
Jasmine Pierce,False,2019,2023,4,4,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm5276392/?ref_=fn_nm_nm_1,47,0
Mark Steinbach,True,2019,2023,4,4,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm9184163/?ref_=fn_nm_nm_1,58,0
Celeste Yim,True,2020,2023,3,3,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm11940589/?ref_=fn_nm_nm_0,41,0
Aristotle Athari,False,2021,2022,1,0,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm2776607/?ref_=fn_nm_nm_0,0,19
Marcello Hernandez,True,2022,2023,1,0,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm13575138/?ref_=fn_nm_nm_0,0,1
Molly Kearney,True,2022,2023,1,0,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm11579141/?ref_=fn_nm_nm_1,0,1
Michael Longfellow (II),True,2022,2023,1,0,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm9089655/?ref_=fn_al_nm_0,0,1
Devon Walker (VI),True,2022,2023,1,0,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm6698127/?ref_=fn_al_nm_1,0,1
Nicole Sun (I),True,2021,2023,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm4710100/?ref_=fn_al_nm_10,5,0
Clare O'Kane (I),True,2021,2023,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1567818/?ref_=fn_nm_nm_1,9,0
Rosebud Baker,True,2021,2023,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm3497327/?ref_=fn_nm_nm_0,9,0
Mike DiCenzo,True,2021,2023,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm3355350/?ref_=fn_nm_nm_1,21,0
Billy Domineau,True,2021,2023,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm2401797/?ref_=fn_nm_nm_0,21,0
Sarah Sherman,True,2021,2023,2,2,0,2,0,2,0,0,0,0,0,https://www.imdb.com/name/nm7567645/?ref_=fn_nm_nm_1,0,17
James Austin Johnson,True,2021,2023,2,2,0,2,0,2,0,0,0,0,0,https://www.imdb.com/name/nm4562498/?ref_=fn_nm_nm_0,0,19
Alex English (X),True,2021,2023,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm8643737/?ref_=nv_sr_srsg_1,21,1
Martin Herlihy,True,2021,2023,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm11958939/?ref_=fn_nm_nm_0,21,4
John Higgins (XV),True,2021,2023,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm3769182/?ref_=fn_al_nm_3,20,4
Vannessa Jackson,True,2021,2023,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm7781354/?ref_=fn_nm_nm_1,21,0
Tesha Kondrat (II),True,2021,2023,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm4871773/?ref_=fn_al_nm_0,21,0
Jake Nordwind,True,2021,2023,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm4053310/?ref_=fn_nm_nm_0,21,0
Ben Silva (V),True,2021,2023,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm11131504/?ref_=fn_nm_nm_1,21,0
Ben Marshall (IV),True,2021,2023,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm2951652/?ref_=fn_nm_nm_1,21,4
