relationship,count
"('Steve Koren', 'Tim Meadows')",2
"('Tim Herlihy', 'Tim Meadows')",3
"('Adam Sandler', 'Andy Samberg')",3
"('Adam Sandler', 'Colin Quinn')",4
"('Adam Sandler', 'Will Forte')",3
"('Ana Gasteyer', 'Andy Samberg')",1
"('Ana Gasteyer', 'Colin Quinn')",1
"('Ana Gasteyer', 'Rachel Dratch')",1
"('Ana Gasteyer', 'Tim Herlihy')",1
"('Ana Gasteyer', 'Will Forte')",1
"('Andy Samberg', 'Colin Quinn')",2
"('Andy Samberg', 'Rachel Dratch')",1
"('Andy Samberg', 'Tim Herlihy')",2
"('Andy Samberg', 'Will Forte')",2
"('Colin Quinn', 'Rachel Dratch')",1
"('Colin Quinn', 'Tim Herlihy')",4
"('Colin Quinn', 'Will Forte')",2
"('Rachel Dratch', 'Will Forte')",1
"('Tim Herlihy', 'Will Forte')",3
"('Adam Sandler', 'Chris Kattan')",1
"('Chris Kattan', 'Chris Parnell')",1
"('Chris Kattan', 'David Spade')",1
"('Chris Kattan', 'Jon Lovitz')",1
"('Chris Kattan', 'Norm MacDonald')",1
"('Chris Kattan', 'Rob Schneider')",1
"('Chris Kattan', 'Tim Herlihy')",1
"('Chris Kattan', 'Will Forte')",1
"('Chris Parnell', 'Norm MacDonald')",1
"('Chris Parnell', 'Rob Schneider')",1
"('Chris Parnell', 'Tim Herlihy')",1
"('Chris Parnell', 'Will Forte')",1
"('David Spade', 'Will Forte')",2
"('Jon Lovitz', 'Norm MacDonald')",1
"('Jon Lovitz', 'Tim Herlihy')",4
"('Jon Lovitz', 'Will Forte')",2
"('Norm MacDonald', 'Will Forte')",1
"('Rob Schneider', 'Will Forte')",1
"('Adam Sandler', 'Ellen Cleghorne')",2
"('Adam Sandler', 'Michael McKean')",1
"('Dana Carvey', 'Ellen Cleghorne')",1
"('Dana Carvey', 'Fred Wolf')",1
"('Dana Carvey', 'Jon Lovitz')",2
"('Dana Carvey', 'Michael McKean')",1
"('Dana Carvey', 'Rob Schneider')",2
"('Ellen Cleghorne', 'Fred Wolf')",2
"('Ellen Cleghorne', 'Jon Lovitz')",2
"('Ellen Cleghorne', 'Kevin Nealon')",1
"('Ellen Cleghorne', 'Michael McKean')",1
"('Ellen Cleghorne', 'Rob Schneider')",1
"('Ellen Cleghorne', 'Robert Smigel')",1
"('Ellen Cleghorne', 'Tim Herlihy')",2
"('Fred Wolf', 'Michael McKean')",1
"('Fred Wolf', 'Rob Schneider')",2
"('Fred Wolf', 'Robert Smigel')",1
"('Fred Wolf', 'Tim Herlihy')",3
"('Jon Lovitz', 'Michael McKean')",1
"('Jon Lovitz', 'Robert Smigel')",2
"('Kevin Nealon', 'Michael McKean')",1
"('Michael McKean', 'Rob Schneider')",1
"('Michael McKean', 'Robert Smigel')",1
"('Michael McKean', 'Tim Herlihy')",1
"('Adam Sandler', 'Molly Shannon')",1
"('Adam Sandler', 'Paul Brittain')",2
"('Adam Sandler', 'Rob Riggle')",1
"('Andy Samberg', 'Chris Parnell')",1
"('Andy Samberg', 'David Spade')",2
"('Andy Samberg', 'Jon Lovitz')",2
"('Andy Samberg', 'Molly Shannon')",1
"('Andy Samberg', 'Paul Brittain')",2
"('Andy Samberg', 'Rob Riggle')",1
"('Andy Samberg', 'Robert Smigel')",1
"('Chris Parnell', 'Molly Shannon')",1
"('Chris Parnell', 'Paul Brittain')",1
"('Chris Parnell', 'Rob Riggle')",1
"('Chris Parnell', 'Robert Smigel')",1
"('David Spade', 'Molly Shannon')",1
"('David Spade', 'Paul Brittain')",2
"('David Spade', 'Rob Riggle')",1
"('Jon Lovitz', 'Molly Shannon')",1
"('Jon Lovitz', 'Paul Brittain')",2
"('Jon Lovitz', 'Rob Riggle')",1
"('Molly Shannon', 'Paul Brittain')",1
"('Molly Shannon', 'Rob Riggle')",1
"('Molly Shannon', 'Robert Smigel')",1
"('Paul Brittain', 'Rob Riggle')",1
"('Paul Brittain', 'Robert Smigel')",1
"('Rob Riggle', 'Robert Smigel')",1
"('Chris Rock', 'Colin Quinn')",3
"('Chris Rock', 'David Spade')",3
"('Chris Rock', 'Fred Wolf')",2
"('Chris Rock', 'Maya Rudolph')",2
"('Chris Rock', 'Norm MacDonald')",1
"('Chris Rock', 'Steve Koren')",1
"('Chris Rock', 'Tim Meadows')",2
"('Colin Quinn', 'David Spade')",3
"('Colin Quinn', 'Fred Wolf')",2
"('Colin Quinn', 'Maya Rudolph')",2
"('Colin Quinn', 'Norm MacDonald')",1
"('Colin Quinn', 'Rob Schneider')",2
"('Colin Quinn', 'Steve Koren')",1
"('Colin Quinn', 'Tim Meadows')",2
"('David Spade', 'Maya Rudolph')",2
"('Fred Wolf', 'Maya Rudolph')",2
"('Fred Wolf', 'Norm MacDonald')",1
"('Fred Wolf', 'Steve Koren')",1
"('Fred Wolf', 'Tim Meadows')",2
"('Maya Rudolph', 'Norm MacDonald')",1
"('Maya Rudolph', 'Steve Koren')",1
"('Maya Rudolph', 'Tim Herlihy')",2
"('Maya Rudolph', 'Tim Meadows')",2
"('Adam Sandler', 'Chris Elliott')",1
"('Adam Sandler', ""Conan O'Brien"")",1
"('Adam Sandler', 'Janeane Garofalo')",1
"('Adam Sandler', 'Lorne Michaels')",1
"('Chris Elliott', 'Chris Rock')",1
"('Chris Elliott', 'Colin Quinn')",1
"('Chris Elliott', ""Conan O'Brien"")",1
"('Chris Elliott', 'Dana Carvey')",1
"('Chris Elliott', 'David Spade')",1
"('Chris Elliott', 'Janeane Garofalo')",1
"('Chris Elliott', 'Jon Lovitz')",1
"('Chris Elliott', 'Kevin Nealon')",1
