person,year_start,year_end,head_writer,imdb_link
Bruce Handy,,,,https://www.imdb.com/name/nm9819935/?ref_=fn_nm_nm_1
Dawna Kaufmann,,,,https://www.imdb.com/name/nm0442126/?ref_=fn_nm_nm_1
David Mandel,,,,https://www.imdb.com/name/nm0541635/?ref_=fn_nm_nm_1
Tim Meadows,,,,https://www.imdb.com/name/nm0005218/?ref_=fn_nm_nm_1
Vanessa Middleton,,,,https://www.imdb.com/name/nm0585583/?ref_=fn_nm_nm_1
Glenn Rockowitz,,,,https://www.imdb.com/name/nm1032308/?ref_=fn_nm_nm_1
Dave Attell,,,,https://www.imdb.com/name/nm0040995/?ref_=fn_nm_nm_1
Tony DeSena,,,,
Tim Herlihy,,,y,https://www.imdb.com/name/nm0379056/?ref_=fn_nm_nm_1
Steve Lookner,,,,https://www.imdb.com/name/nm0382769/?ref_=fn_nm_nm_1
Norm Macdonald,,,,
Jay Mohr,,,,https://www.imdb.com/name/nm0001542/?ref_=fn_nm_nm_1
Lewis Morton,,,,https://www.imdb.com/name/nm0608034/?ref_=fn_nm_nm_1
Sarah Silverman,,,,https://www.imdb.com/name/nm0798971/?ref_=fn_nm_nm_1
Ross Abrash,,,,https://www.imdb.com/name/nm1039205/?ref_=fn_nm_nm_1
Norm Hiscock,,,,https://www.imdb.com/name/nm0386780/?ref_=fn_nm_nm_1
Brian Kelley,,,,https://www.imdb.com/name/nm5513398/?ref_=fn_nm_nm_1
Laura Kightlinger,,,,https://www.imdb.com/name/nm0452716/?ref_=fn_nm_nm_1
Margo Meyer,,,,https://www.imdb.com/name/nm2953433/?ref_=fn_nm_nm_1
Adam Resnick,,,,https://www.imdb.com/name/nm0720304/?ref_=fn_nm_nm_1
Drake Sather,,,,https://www.imdb.com/name/nm0766153/?ref_=fn_nm_nm_1
Steve Higgins,,,y,https://www.imdb.com/name/nm0383492/?ref_=fn_nm_nm_1
Cindy Caponera,,,,https://www.imdb.com/name/nm0135359/?ref_=fn_nm_nm_1
Hugh Fink,,,,https://www.imdb.com/name/nm0277813/?ref_=fn_nm_nm_1
Tom Gianas,,,,https://www.imdb.com/name/nm0316139/?ref_=fn_nm_nm_1
Peter Gaulke,,,,https://www.imdb.com/name/nm0310087/?ref_=fn_nm_nm_1
Erin Maroney,,,,
Adam McKay,,,y,https://www.imdb.com/name/nm0570912/?ref_=fn_nm_nm_1
Dennis McNicholas,,,,https://www.imdb.com/name/nm0574005/?ref_=fn_nm_nm_1
Lori Nasso,,,,https://www.imdb.com/name/nm0621994/?ref_=fn_nm_nm_1
Paula Pell,,,y,https://www.imdb.com/name/nm0996134/?ref_=fn_nm_nm_1
Colin Quinn,,,,https://www.imdb.com/name/nm0703800/?ref_=fn_nm_nm_1
Frank Sebastiano,,,,https://www.imdb.com/name/nm0780980/?ref_=fn_nm_nm_1
Andrew Steele,,,y,https://www.imdb.com/name/nm0824482/?ref_=fn_nm_nm_1
Tim Herlihy and Adam McKay,,,,
David Breckman,,,,https://www.imdb.com/name/nm1184512/?ref_=fn_nm_nm_1
Robert Carlock,,,,https://www.imdb.com/name/nm1061622/?ref_=fn_nm_nm_1
Stephen Colbert,,,,https://www.imdb.com/name/nm0170306/?ref_=fn_nm_nm_1
Matt Piedmont,,,,https://www.imdb.com/name/nm0682126/?ref_=fn_nm_nm_1
Scott Wainio,,,,https://www.imdb.com/name/nm0906511/?ref_=fn_nm_nm_1
Tina Fey,,,y,https://www.imdb.com/name/nm0275486/?ref_=fn_nm_nm_1
Michael McCullers,,,,https://www.imdb.com/name/nm0567112/?ref_=fn_nm_nm_1
Michael Schur,,,,https://www.imdb.com/name/nm1321658/?ref_=fn_nm_nm_1
Jerry Collins,,,,https://www.imdb.com/name/nm0172381/?ref_=fn_nm_nm_1
Steven Cragg,,,,https://www.imdb.com/name/nm0185735/?ref_=fn_nm_nm_1
Tony Daro,,,,https://www.imdb.com/name/nm1720857/?ref_=fn_nm_nm_1
Richard Francese,,,,https://www.imdb.com/name/nm0289927/?ref_=fn_nm_nm_1
Matt Graham,,,,https://www.imdb.com/name/nm6181738/?ref_=fn_nm_nm_1
Ray James,,,,https://www.imdb.com/name/nm0416853/?ref_=fn_nm_nm_1
T. Sean Shannon,,,,https://www.imdb.com/name/nm0780643/?ref_=fn_nm_nm_1
Kevin Brennan,,,,https://www.imdb.com/name/nm0996057/?ref_=fn_nm_nm_2
Ali Farahnakian,,,,
J. J. Philbin,,,,
James Anderson,,,,https://www.imdb.com/name/nm0026841/?ref_=fn_nm_nm_1
Melanie Graham,,,,https://www.imdb.com/name/nm1121588/?ref_=fn_nm_nm_1
Erik Kenward,,,,https://www.imdb.com/name/nm1334502/?ref_=fn_nm_nm_1
Jerry Minor,,,,https://www.imdb.com/name/nm0591576/?ref_=fn_nm_nm_1
Jon Rosenfeld,,,,https://www.imdb.com/name/nm1720897/?ref_=fn_nm_nm_1
Doug Abeles,,,,https://www.imdb.com/name/nm1263023/?ref_=fn_nm_nm_1
Max Brooks,,,,https://www.imdb.com/name/nm0112150/?ref_=fn_nm_nm_1
Louis C.K.,,,,https://www.imdb.com/name/nm0127373/?ref_=fn_nm_nm_1
Charlie Grandy,,,,https://www.imdb.com/name/nm0334946/?ref_=fn_nm_nm_1
Ken Scarborough,,,,https://www.imdb.com/name/nm0769095/?ref_=fn_nm_nm_1
Barry Sobel,,,,https://www.imdb.com/name/nm0811746/?ref_=fn_nm_nm_1
Leo Allen,,,,https://www.imdb.com/name/nm1179485/?ref_=fn_nm_nm_1
James Eagan,,,,https://www.imdb.com/name/nm0247063/?ref_=fn_nm_nm_1
Corwin Moore,,,,https://www.imdb.com/name/nm0601074/?ref_=fn_nm_nm_1
Eric Slovin,,,,https://www.imdb.com/name/nm0806246/?ref_=fn_nm_nm_1
Emily Spivey,,,,https://www.imdb.com/name/nm0819225/?ref_=fn_nm_nm_1
Jordan Black,,,,https://www.imdb.com/name/nm0085359/?ref_=fn_nm_nm_1
Liz Cackowski,,,,https://www.imdb.com/name/nm1560199/?ref_=fn_nm_nm_1
Louis CK,,,,
David Iserson,,,,https://www.imdb.com/name/nm1503347/?ref_=fn_nm_nm_1
Joe Kelly,,,,https://www.imdb.com/name/nm1918708/?ref_=fn_nm_nm_1
John Lutz,,,,https://www.imdb.com/name/nm0527572/?ref_=fn_nm_nm_1
J. B. Smoove,,,,
Jason Sudeikis,,,,https://www.imdb.com/name/nm0837177/?ref_=fn_nm_nm_1
Rich Talarico,,,,https://www.imdb.com/name/nm0847822/?ref_=fn_nm_nm_1
Alex Baze,,,,https://www.imdb.com/name/nm1733287/?ref_=fn_nm_nm_1
Matt Murray,,,,https://www.imdb.com/name/nm5248879/?ref_=fn_nm_nm_1
Lauren Pomerantz,,,,https://www.imdb.com/name/nm1729395/?ref_=fn_nm_nm_1
Colin Jost,,,y,https://www.imdb.com/name/nm1906042/?ref_=fn_nm_nm_1
Seth Meyers,,,y,https://www.imdb.com/name/nm1024878/?ref_=fn_nm_nm_1
Akiva Schaffer,,,,https://www.imdb.com/name/nm1676223/?ref_=fn_nm_nm_1
Jorma Taccone,,,,https://www.imdb.com/name/nm1672246/?ref_=fn_nm_nm_1
Bryan Tucker,,,y,https://www.imdb.com/name/nm5079723/?ref_=fn_nm_nm_2
Seth Meyers ,,,,
