Weight,Source,Target
14,Brian Doyle-Murray,Dan Aykroyd
18,Bobby Moynihan,Stephen Colbert
1,Brian McConnachie,Mitchell Kriegman
1,Brian McConnachie,Patricia Marx
3,Mitchell Kriegman,Patricia Marx
4,Doug Abeles,Hannibal Buress
1,Doug Abeles,Julia Louis-Dreyfus
1,Doug Abeles,Paul Shaffer
2,Doug Abeles,Rob Riggle
5,Doug Abeles,Will Forte
17,Hannibal Buress,Julia Louis-Dreyfus
8,Hannibal Buress,Paul Shaffer
18,Hannibal Buress,Will Forte
24,Julia Louis-Dreyfus,Paul Shaffer
27,Julia Louis-Dreyfus,Rob Riggle
31,Julia Louis-Dreyfus,Will Forte
14,Paul Shaffer,Rob Riggle
17,Paul Shaffer,Will Forte
42,Rob Riggle,Will Forte
50,Dan Aykroyd,Gilda Radner
64,Sarah Silverman,Will Ferrell
23,Harry Shearer,Janeane Garofalo
62,Adam Sandler,Eddie Murphy
80,Adam Sandler,Jimmy Fallon
15,Adam Sandler,Joan Cusack
81,Adam Sandler,Mike Myers
10,Adam Sandler,Randy Quaid
64,Adam Sandler,Robert Downey Jr.
52,Ben Stiller,Eddie Murphy
56,Ben Stiller,Jimmy Fallon
17,Ben Stiller,Joan Cusack
56,Ben Stiller,Mike Myers
11,Ben Stiller,Randy Quaid
45,Eddie Murphy,Jimmy Fallon
18,Eddie Murphy,Joan Cusack
78,Eddie Murphy,Mike Myers
14,Eddie Murphy,Randy Quaid
13,Jimmy Fallon,Joan Cusack
49,Jimmy Fallon,Mike Myers
8,Jimmy Fallon,Randy Quaid
39,Jimmy Fallon,Robert Downey Jr.
19,Joan Cusack,Mike Myers
8,Joan Cusack,Randy Quaid
13,Joan Cusack,Robert Downey Jr.
12,Mike Myers,Randy Quaid
45,Mike Myers,Robert Downey Jr.
11,Randy Quaid,Robert Downey Jr.
40,Bob Odenkirk,Chris Rock
37,Bob Odenkirk,Dana Carvey
63,Bob Odenkirk,Sarah Silverman
38,Bob Odenkirk,Stephen Colbert
48,Chris Rock,Dana Carvey
33,Dana Carvey,Sarah Silverman
29,Dana Carvey,Stephen Colbert
57,Sarah Silverman,Stephen Colbert
41,Al Franken,Dan Aykroyd
12,Al Franken,Dave Attell
23,Al Franken,Gilbert Gottfried
10,Al Franken,Hannibal Buress
13,Al Franken,Jim Breuer
20,Al Franken,Louis C.K.
4,Al Franken,Nimesh Patel
22,Al Franken,Robert Downey Jr.
9,Dan Aykroyd,Dave Attell
21,Dan Aykroyd,Gilbert Gottfried
11,Dan Aykroyd,Hannibal Buress
15,Dan Aykroyd,Jim Breuer
17,Dan Aykroyd,Louis C.K.
3,Dan Aykroyd,Nimesh Patel
29,Dave Attell,Gilbert Gottfried
15,Dave Attell,Hannibal Buress
16,Dave Attell,Jim Breuer
22,Dave Attell,Louis C.K.
1,Dave Attell,Nimesh Patel
10,Dave Attell,Robert Downey Jr.
15,Gilbert Gottfried,Jim Breuer
24,Gilbert Gottfried,Louis C.K.
3,Gilbert Gottfried,Nimesh Patel
19,Gilbert Gottfried,Robert Downey Jr.
8,Hannibal Buress,Jim Breuer
15,Hannibal Buress,Louis C.K.
4,Hannibal Buress,Nimesh Patel
13,Hannibal Buress,Robert Downey Jr.
12,Jim Breuer,Louis C.K.
2,Jim Breuer,Nimesh Patel
12,Jim Breuer,Robert Downey Jr.
4,Louis C.K.,Nimesh Patel
24,Louis C.K.,Robert Downey Jr.
3,Nimesh Patel,Robert Downey Jr.
38,Chris Rock,Dennis Miller
28,Chris Rock,Jay Mohr
21,Chris Rock,Jim Breuer
20,Chris Rock,Joe Piscopo
25,Dennis Miller,Jay Mohr
11,Dennis Miller,Jim Breuer
12,Dennis Miller,Stephen Colbert
18,Jay Mohr,Jim Breuer
9,Jay Mohr,Joe Piscopo
15,Jay Mohr,Stephen Colbert
8,Jim Breuer,Joe Piscopo
11,Jim Breuer,Stephen Colbert
8,Joe Piscopo,Stephen Colbert
13,Finesse Mitchell,Jimmy Fallon
41,Martin Short,Robert Downey Jr.
37,Ben Stiller,Dan Aykroyd
2,Ben Stiller,Morwenna Banks
4,Ben Stiller,Pamela Stephenson
56,Dan Aykroyd,Mike Myers
4,Mike Myers,Morwenna Banks
7,Mike Myers,Pamela Stephenson
30,Mike Myers,Stephen Colbert
8,Andy Breckman,Jon Lovitz
6,Andy Breckman,Kevin Nealon
61,Jon Lovitz,Kevin Nealon
5,Finesse Mitchell,Hannibal Buress
9,Finesse Mitchell,Rob Schneider
12,Hannibal Buress,Rob Schneider
63,Billy Crystal,Chevy Chase
22,Billy Crystal,John Belushi
45,Chevy Chase,John Belushi
2,Brian Doyle-Murray,George Coe
9,Heidi Gardner,Jimmy Fallon
