person,current,year_start,year_end,num_seasons_total,num_seasons_writer,num_seasons_headwriter,num_seasons_actor,num_seasons_rep,num_seasons_featured,num_seasons_middle,num_seasons_weekend_update,num_episodes_weekend_updates,best_of,num_episodes_hosted,imdb_link,num_episodes_writer,num_episodes_actor,num_episodes_other,coefficient
Tim Kazurinsky,False,1981,1984,4,3,0,4,4,0,0,0,0,0,0,https://www.imdb.com/name/nm0443730/?ref_=fn_nm_nm_0,60,57,5,0.10838508208422555
Laura Kightlinger,False,1994,1995,1,1,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm0452716/?ref_=fn_nm_nm_0,20,19,1,0.09076329407566025
Tim Robinson,False,2012,2016,4,3,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm4200503/?ref_=fn_nm_nm_0,68,21,0,0.03601088508208423
Tony Rosato,False,1981,1982,1,1,0,1,1,0,0,0,0,0,0,https://www.imdb.com/name/nm0711014/?ref_=fn_nm_nm_1,21,20,1,0.09600419343326194
Adam Sandler,False,1990,1995,6,3,0,6,2,3,1,0,0,1,1,https://www.imdb.com/name/nm0001191/?ref_=fn_nm_nm_1,60,87,10,0.1109627052105639
Rob Schneider,False,1989,1994,5,3,0,5,2,2,1,0,0,0,0,https://www.imdb.com/name/nm0001705/?ref_=fn_nm_nm_1,56,80,4,0.10876079586009993
Harry Shearer,False,1979,1985,2,2,0,2,2,0,0,0,0,0,0,https://www.imdb.com/name/nm0733427/?ref_=fn_nm_nm_0,31,38,2,0.10046663097787295
Martin Short,False,1984,1985,1,1,0,1,1,0,0,0,0,0,3,https://www.imdb.com/name/nm0001737/?ref_=fn_nm_nm_1,17,25,5,0.0962557994289793
Sarah Silverman,False,1993,1994,1,1,0,1,0,1,0,0,0,0,1,https://www.imdb.com/name/nm0798971/?ref_=fn_nm_nm_1,20,18,1,0.09064016773733048
Robert Smigel,False,1985,2008,23,23,0,2,0,2,0,0,0,0,0,https://www.imdb.com/name/nm0806912/?ref_=fn_nm_nm_0,425,114,140,0.09918689678180181
David Spade,False,1989,1996,7,3,0,7,3,3,1,0,0,1,2,https://www.imdb.com/name/nm0005450/?ref_=fn_nm_nm_1,57,77,46,0.11185957734271437
Jason Sudeikis,False,2003,2013,10,2,0,9,8,1,0,0,0,0,0,https://www.imdb.com/name/nm0837177/?ref_=fn_nm_nm_0,37,177,2,0.11712116345467524
