person,current,year_start,year_end,num_seasons_total,num_seasons_writer,num_seasons_headwriter,num_seasons_actor,num_seasons_rep,num_seasons_featured,num_seasons_middle,num_seasons_weekend_update,num_episodes_weekend_updates,best_of,num_episodes_hosted,imdb_link,num_episodes_writer,num_episodes_actor,num_episodes_other,coefficient
Kent Sublette,True,2007,2023,16,16,7,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1229014/?ref_=fn_nm_nm_1,249,3,0,0.11198652748037116
Jessica Conrad,False,2008,2012,4,4,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm3165087/?ref_=fn_nm_nm_0,82,0,0,0.013824054246966453
John Mulaney,False,2008,2012,4,4,0,0,0,0,0,0,0,0,4,https://www.imdb.com/name/nm1825214/?ref_=fn_nm_nm_1,97,5,32,0.01706281227694504
Jillian Bell,False,2009,2010,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm3255459/?ref_=fn_nm_nm_0,22,1,0,0.0037557994289793006
Hannibal Buress,False,2009,2010,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm2868110/?ref_=fn_nm_nm_0,22,2,0,0.0038789257673090653
Jessi Klein,False,2009,2010,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1585728/?ref_=fn_nm_nm_0,20,2,0,0.0036433797287651675
Christine Nangle,False,2009,2012,3,3,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm3652881/?ref_=fn_nm_nm_1,62,2,0,0.010673179871520343
Ryan Perez (I),False,2009,2010,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1885677/?ref_=fn_al_nm_2,22,1,0,0.0037557994289793006
Heather Anne Campbell,False,2010,2011,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm2216111/?ref_=fn_nm_nm_0,22,0,0,0.003632673090649536
Matthew Craig (II),False,2010,2011,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm2924462/?ref_=fn_nm_nm_1,5,0,0,0.0016305317630264096
Tom Flanigan (I),False,2010,2011,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm2475841/?ref_=fn_nm_nm_1,1,0,0,0.0011594396859386153
Shelly Gossman,False,2010,2012,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm4586457/?ref_=fn_nm_nm_0,10,1,0,0.003384189864382584
Jonathan Krisel,False,2010,2011,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1730037/?ref_=fn_nm_nm_1,23,0,9,0.0039913454675231975
Sarah Schneider,False,2010,2017,7,7,1,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1365351/?ref_=fn_nm_nm_0,75,1,0,0.037676340878964
Zach Kanin,False,2011,2016,5,5,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm2385671/?ref_=fn_nm_nm_1,97,0,0,0.016632316202712348
Chris Kelly,False,2011,2017,6,6,1,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm6287571/?ref_=fn_nm_nm_2,88,0,0,0.04161402569593147
Pete Schultz,True,2011,2023,12,12,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm3965483/?ref_=fn_nm_nm_0,226,0,8,0.03933083511777302
Neil Casey,False,2012,2013,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm2654481/?ref_=fn_nm_nm_0,19,0,0,0.0032793540328336906
Josh Patten,True,2012,2023,11,11,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm4483652/?ref_=fn_nm_nm_1,192,0,0,0.034070753033547466
Claire Mulaney,False,2013,2015,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm6004139/?ref_=fn_nm_nm_1,42,0,0,0.007029800142755175
Katie Rich,False,2013,2019,6,6,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm5098521/?ref_=fn_nm_nm_0,106,1,0,0.018857066381156317
LaKendra Tookes,False,2013,2014,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm6228635/?ref_=fn_nm_nm_1,11,0,0,0.002337169878658101
Jeremy Beiler,False,2014,2017,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1501030/?ref_=fn_nm_nm_0,61,0,0,0.009267487508922197
Dave McCary,False,2014,2018,3,3,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm5050824/?ref_=fn_nm_nm_0,84,0,22,0.013606798715203424
Natasha Rothwell,False,2014,2015,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm5625020/?ref_=fn_nm_nm_0,21,0,0,0.0035149000713775875
Nicholas Rutherford,False,2014,2015,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0751990/?ref_=fn_nm_nm_1,21,0,0,0.0035149000713775875
Meredith Scardino,False,2014,2015,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm2227704/?ref_=fn_nm_nm_0,9,0,0,0.0021016238401142043
Chris Belair,False,2015,2016,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm3677049/?ref_=fn_nm_nm_0,21,0,0,0.0035149000713775875
Paul Masella,False,2015,2016,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm3688724/?ref_=fn_nm_nm_0,21,0,0,0.0035149000713775875
Dave Sirus,False,2015,2016,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm3461468/?ref_=fn_nm_nm_0,30,0,0,0.0045748572448251245
Will Stephen,True,2015,2023,8,8,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm5560794/?ref_=fn_nm_nm_0,142,0,0,0.025057102069950037
Kristen Bartlett,False,2016,2018,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm4434455/?ref_=fn_nm_nm_1,27,0,0,0.0052632048536759455
Zack Bornstein,False,2016,2017,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm4956526/?ref_=fn_nm_nm_1,21,0,0,0.0035149000713775875
Joanna Bradley,False,2016,2017,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm5400395/?ref_=fn_nm_nm_0,21,0,0,0.0035149000713775875
Anna Drezen,True,2016,2022,6,6,2,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm4871432/?ref_=fn_nm_nm_0,116,0,0,0.06991167023554604
Nick Kocher,False,2016,2018,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm3304457/?ref_=fn_nm_nm_1,27,0,0,0.0052632048536759455
Michael Koman,False,2016,2019,3,3,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0464523/?ref_=fn_nm_nm_0,52,0,0,0.009249197002141328
Brian McElhaney,False,2016,2018,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm3537795/?ref_=fn_nm_nm_1,27,0,0,0.0052632048536759455
Drew Michael,False,2016,2018,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm6569383/?ref_=fn_nm_nm_1,21,0,0,0.004556566738044254
Julio Torres,False,2016,2019,3,3,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm7088580/?ref_=fn_nm_nm_1,61,0,0,0.010309154175588864
Steven Castillo,True,2017,2022,5,5,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm9163311/?ref_=fn_nm_nm_1,89,0,0,0.01569013204853676
Claire Friedman,False,2017,2018,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm8077083/?ref_=fn_nm_nm_1,21,0,0,0.0035149000713775875
Fran Gillespie,True,2015,2021,6,6,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm5246001/?ref_=fn_nm_nm_0,123,0,0,0.020736081370449678
Sudi Green,True,2015,2021,6,6,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm6003622/?ref_=fn_nm_nm_0,124,0,0,0.020853854389721628
Sam Jay,True,2017,2021,4,4,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm7615637/?ref_=fn_nm_nm_1,70,1,0,0.012533904354032833
Erik Marino,False,2017,2018,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0547765/?ref_=fn_nm_nm_0,21,0,0,0.0035149000713775875
Nimesh Patel,False,2017,2018,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm7964342/?ref_=fn_nm_nm_0,21,0,0,0.0035149000713775875
Gary Richardson,False,2017,2021,4,4,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm6324751/?ref_=fn_nm_nm_0,79,2,0,0.013716987865810135
Streeter Seidell,True,2014,2023,7,7,2,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm3289293/?ref_=fn_nm_nm_0,163,2,0,0.06959206434179667
Megan Callahan-Shah,True,2015,2021,6,6,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm4916386/?ref_=fn_nm_nm_1,146,0,0,0.023444860813704498
Alison Gates,False,2018,2021,3,3,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm10384188/?ref_=fn_nm_nm_0,80,2,0,0.012793094218415419
Alan Linic,False,2018,2019,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm7860442/?ref_=fn_nm_nm_1,21,0,0,0.0035149000713775875
Eli Coyote Mandel,False,2018,2019,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm8881698/?ref_=fn_nm_nm_1,21,0,0,0.0035149000713775875
Dan Bulla,False,2019,2021,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm4674057/?ref_=fn_nm_nm_0,60,0,0,0.009149714489650249
Emma Clark,False,2019,2021,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm8485344/?ref_=fn_nm_nm_0,27,0,0,0.0052632048536759455
Dan Licata,False,2019,2021,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm3915994/?ref_=fn_nm_nm_1,39,0,0,0.00667648108493933
Jasmine Pierce,False,2019,2023,4,4,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm5276392/?ref_=fn_nm_nm_1,47,0,0,0.009701998572448252
Mark Steinbach,True,2019,2023,4,4,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm9184163/?ref_=fn_nm_nm_1,58,0,0,0.010997501784439687
Celeste Yim,True,2020,2023,3,3,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm11940589/?ref_=fn_nm_nm_0,41,0,0,0.007953693790149893
Aristotle Athari,False,2021,2022,1,0,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm2776607/?ref_=fn_nm_nm_0,0,19,2,0.08843460028551035
Marcello Hernandez,True,2022,2023,1,0,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm13575138/?ref_=fn_nm_nm_0,0,1,0,0.08616479300499644
Molly Kearney,True,2022,2023,1,0,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm11579141/?ref_=fn_nm_nm_1,0,1,0,0.08616479300499644
Michael Longfellow (II),True,2022,2023,1,0,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm9089655/?ref_=fn_al_nm_0,0,1,0,0.08616479300499644
Devon Walker (VI),True,2022,2023,1,0,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm6698127/?ref_=fn_al_nm_1,0,1,0,0.08616479300499644
Nicole Sun (I),True,2021,2023,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm4710100/?ref_=fn_al_nm_10,5,0,0,0.0026721984296930765
Clare O'Kane (I),True,2021,2023,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1567818/?ref_=fn_nm_nm_1,9,0,0,0.0031432905067808707
Rosebud Baker,True,2021,2023,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm3497327/?ref_=fn_nm_nm_0,9,0,0,0.0031432905067808707
Mike DiCenzo,True,2021,2023,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm3355350/?ref_=fn_nm_nm_1,21,0,0,0.004556566738044254
Billy Domineau,True,2021,2023,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm2401797/?ref_=fn_nm_nm_0,21,0,0,0.004556566738044254
Sarah Sherman,True,2021,2023,2,2,0,2,0,2,0,0,0,0,0,https://www.imdb.com/name/nm7567645/?ref_=fn_nm_nm_1,0,17,4,0.08928354746609565
James Austin Johnson,True,2021,2023,2,2,0,2,0,2,0,0,0,0,0,https://www.imdb.com/name/nm4562498/?ref_=fn_nm_nm_0,0,19,2,0.08947626695217703
Alex English (X),True,2021,2023,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm8643737/?ref_=nv_sr_srsg_1,21,1,0,0.004679693076374019
Martin Herlihy,True,2021,2023,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm11958939/?ref_=fn_nm_nm_0,21,4,4,0.005156138472519629
John Higgins (XV),True,2021,2023,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm3769182/?ref_=fn_al_nm_3,20,4,4,0.00503836545324768
Vannessa Jackson,True,2021,2023,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm7781354/?ref_=fn_nm_nm_1,21,0,0,0.004556566738044254
Tesha Kondrat (II),True,2021,2023,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm4871773/?ref_=fn_al_nm_0,21,0,0,0.004556566738044254
Jake Nordwind,True,2021,2023,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm4053310/?ref_=fn_nm_nm_0,21,0,0,0.004556566738044254
Ben Silva (V),True,2021,2023,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm11131504/?ref_=fn_nm_nm_1,21,0,0,0.004556566738044254
Ben Marshall (IV),True,2021,2023,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm2951652/?ref_=fn_nm_nm_1,21,4,4,0.005156138472519629
