person,year_start,year_end,num_seasons_total,num_seasons_writer,num_seasons_headwriter,num_seasons_actor,num_seasons_rep,num_seasons_featured,num_seasons_middle,num_seasons_weekend_update,num_episodes_weekend_updates,best_of,num_episodes_hosted
Akiva Schaffer,2005,2011,6,6,0,0,0,0,0,0,0,0,0
Jorma Taccone,2005,2011,6,6,0,0,0,0,0,0,0,0,0
Bryan H. Tucker,2005,2021,16,16,5,0,0,0,0,0,0,0,0
Marika Sawyer,2006,2014,8,8,0,0,0,0,0,0,0,0,0
John Solomon,2006,2015,9,9,0,0,0,0,0,0,0,0,0
Rob Klein,2007,2017,10,10,3,0,0,0,0,0,0,0,0
Simon Rich,2007,2011,4,4,0,0,0,0,0,0,0,0,0
Kent Sublette,2007,2021,14,14,5,0,0,0,0,0,0,0,0
Jessica Conrad,2008,2012,4,4,0,0,0,0,0,0,0,0,0
John Mulaney,2008,2012,4,4,0,0,0,0,0,0,0,0,4
Jillian Bell,2009,2010,1,1,0,0,0,0,0,0,0,0,0
Hannibal Buress,2009,2010,1,1,0,0,0,0,0,0,0,0,0
Jessi Klein,2009,2010,1,1,0,0,0,0,0,0,0,0,0
Christine Nangle,2009,2012,3,3,0,0,0,0,0,0,0,0,0
Michael Patrick O'Brien,2009,2013,4,4,0,0,0,0,0,0,0,0,0
Ryan Perez (I),2009,2010,1,1,0,0,0,0,0,0,0,0,0
Heather Anne Campbell,2010,2011,1,1,0,0,0,0,0,0,0,0,0
Matthew Craig (II),2010,2011,1,1,0,0,0,0,0,0,0,0,0
Tom Flanigan,2010,2011,1,1,0,0,0,0,0,0,0,0,0
Shelly Gossman,2010,2012,2,2,0,0,0,0,0,0,0,0,0
Jonathan Krisel,2010,2011,1,1,0,0,0,0,0,0,0,0,0
Sarah Schneider,2010,2017,7,7,1,0,0,0,0,0,0,0,0
Zach Kanin,2011,2016,5,5,0,0,0,0,0,0,0,0,0
Chris Kelly,2011,2017,6,6,1,0,0,0,0,0,0,0,0
Pete Schultz,2011,2021,10,10,0,0,0,0,0,0,0,0,0
Neil Casey,2012,2013,1,1,0,0,0,0,0,0,0,0,0
Josh Patten,2012,2021,8,8,0,0,0,0,0,0,0,0,0
Claire Mulaney,2013,2015,2,2,0,0,0,0,0,0,0,0,0
Katie Rich,2013,2019,6,6,0,0,0,0,0,0,0,0,0
LaKendra Tookes,2013,2014,1,1,0,0,0,0,0,0,0,0,0
Jeremy Beiler,2014,2017,2,2,0,0,0,0,0,0,0,0,0
Dave McCary,2014,2018,3,3,0,0,0,0,0,0,0,0,0
Natasha Rothwell,2014,2015,1,1,0,0,0,0,0,0,0,0,0
Nicholas Rutherford,2014,2015,1,1,0,0,0,0,0,0,0,0,0
Meredith Scardino,2014,2015,1,1,0,0,0,0,0,0,0,0,0
Chris Belair,2015,2016,1,1,0,0,0,0,0,0,0,0,0
Paul Masella,2015,2016,1,1,0,0,0,0,0,0,0,0,0
Dave Sirus,2015,2016,1,1,0,0,0,0,0,0,0,0,0
Will Stephen,2015,2021,6,6,0,0,0,0,0,0,0,0,0
Kristen Bartlett,2016,2018,2,2,0,0,0,0,0,0,0,0,0
Zack Bornstein,2016,2017,1,1,0,0,0,0,0,0,0,0,0
Joanna Bradley,2016,2017,1,1,0,0,0,0,0,0,0,0,0
Anna Drezen,2016,2021,5,5,1,0,0,0,0,0,0,0,0
Nick Kocher,2016,2018,2,2,0,0,0,0,0,0,0,0,0
Michael Koman,2016,2019,3,3,0,0,0,0,0,0,0,0,0
Brian McElhaney,2016,2018,2,2,0,0,0,0,0,0,0,0,0
Drew Michael,2016,2018,2,2,0,0,0,0,0,0,0,0,0
Julio Torres,2016,2019,3,3,0,0,0,0,0,0,0,0,0
Steven Castillo,2017,2021,4,4,0,0,0,0,0,0,0,0,0
Claire Friedman,2017,2018,1,1,0,0,0,0,0,0,0,0,0
Fran Gillespie,2015,2021,6,6,0,0,0,0,0,0,0,0,0
Sudi Green,2015,2021,6,6,0,0,0,0,0,0,0,0,0
Sam Jay,2017,2021,4,4,0,0,0,0,0,0,0,0,0
Michael Koman,2016,2019,3,3,0,0,0,0,0,0,0,0,0
Erik Marino,2017,2018,1,1,0,0,0,0,0,0,0,0,0
Nimesh Patel,2017,2018,1,1,0,0,0,0,0,0,0,0,0
Gary Richardson,2017,2021,4,4,0,0,0,0,0,0,0,0,0
Streeter Seidell,2014,2021,7,7,0,0,0,0,0,0,0,0,0
Megan Callahan-Shah,2015,2021,6,6,0,0,0,0,0,0,0,0,0
Alison Gates,2018,2021,3,3,0,0,0,0,0,0,0,0,0
Alan Linic,2018,2019,1,1,0,0,0,0,0,0,0,0,0
Eli Coyote Mandel,2018,2019,1,1,0,0,0,0,0,0,0,0,0
Dan Bulla,2019,2021,2,2,0,0,0,0,0,0,0,0,0
Emma Clark,2019,2021,2,2,0,0,0,0,0,0,0,0,0
Dan Licata,2019,2021,2,2,0,0,0,0,0,0,0,0,0
