title,imdb_link,credits_count,snl_alums,cast_count
Saturday Night Live,https://www.imdb.com/title/tt0072562/,259,"['Pete Davidson', 'Aidy Bryant', 'Maya Rudolph', 'Damon Wayans', 'Dan Aykroyd', 'Beck Bennett', 'Casey Wilson', 'Colin Jost', 'David Koechner', 'Melanie Hutsell', 'Mike Myers', 'Darrell Hammond', 'Anthony Michael Hall', 'Jim Breuer', 'Punkie Johnson', 'Tim Meadows', 'David Spade', 'Kyle Mooney', 'Tracy Morgan', 'Gail Matthius', 'Finesse Mitchell', 'Chris Redd', 'Joe Piscopo', 'Paul Shaffer', 'Molly Shannon', 'Michael McKean', 'Ann Risley', 'Andy Samberg', 'Gilbert Gottfried', 'Amy Poehler', 'Victoria Jackson', 'Rich Hall', 'Nasim Pedrad', 'Chris Rock', 'Cecily Strong', 'John Milhiser', 'Horatio Sanz', 'Eddie Murphy', 'Chris Elliott', 'Vanessa Bayer', 'Michael Che', 'Dan Vitale', 'Mary Gross', 'Tim Kazurinsky', 'Jan Hooks', 'Jason Sudeikis', 'Julia Sweeney', 'Jerry Minor', 'Billy Crystal', 'Ana Gasteyer', 'Jenny Slate', 'Melissa Villaseñor', 'George Coe', 'Joan Cusack', 'Don Novello', 'Heidi Gardner', 'John Belushi', 'Will Forte', 'Norm MacDonald', 'Patrick Weathers', 'Rob Riggle', 'Jane Curtin', 'Tim Robinson', 'Julia Louis-Dreyfus', 'Nora Dunn', 'Bobby Moynihan', 'Robert Smigel', 'Morwenna Banks', 'Dana Carvey', 'Chloe Fineman', 'Beth Cahill', 'Emily Prager', 'Peter Aykroyd', 'Brad Hall', 'Harry Shearer', 'Ellen Cleghorne', 'Jay Mohr', 'Kenan Thompson', 'Tony Rosato', 'Abby Elliott', 'Janeane Garofalo', 'Alex Moffat', 'Bowen Yang', 'A. Whitney Brown', 'Seth Meyers', 'Nancy Carell', 'Adam Sandler', 'Tom Schiller', 'Rachel Dratch', 'Andrew Dismukes', 'Leslie Jones', 'Denny Dillon', 'Laraine Newman', 'Gilda Radner', 'Bill Hader', ""Michael O'Donoghue"", 'Yvonne Hudson', 'Dennis Miller', 'Jay Pharoah', 'Mikey Day', 'Danitra Vance', 'Laura Kightlinger', 'Mark McKinney', 'Kristen Wiig', 'Ben Stiller', 'Noël Wells', 'Fred Armisen', 'Taran Killam', 'Lauren Holt', 'Martin Short', 'Chris Kattan', 'Jimmy Fallon', 'Jon Lovitz', 'Colin Quinn', 'Pamela Stephenson', 'Brooks Wheelan', 'Tina Fey', 'Cheri Oteri', 'Matthew Laurance', 'Phil Hartman', 'Will Ferrell', 'Rob Schneider', 'Brian Doyle-Murray', 'Luke Null', 'Gary Kroeger', 'Robert Downey Jr.', 'Jon Rudnitsky', 'Sarah Silverman', 'Charles Rocket', 'Paul Brittain', 'Sasheer Zamata', 'Chris Parnell', 'Kevin Nealon', 'Chevy Chase', 'Al Franken', 'Ego Nwodim', 'Randy Quaid', 'Terry Sweeney', 'Christine Ebersole', 'Kate McKinnon', 'Bill Murray', 'Michaela Watkins', 'Laurie Metcalf', 'Christopher Guest', 'Garrett Morris', 'Alan Zweibel', 'Dean Edwards', 'Chris Farley', 'Robin Duke', 'Jim Belushi', 'Fred Wolf']",151
Magnum Dopus: The Making of Jay and Silent Bob Reboot,https://www.imdb.com/title/tt12179904/,1,['Fred Armisen'],1
Hero Worship,https://www.imdb.com/title/tt9816936/,1,['Fred Armisen'],1
Off Camera with Sam Jones,https://www.imdb.com/title/tt3473134/,10,"['Fred Armisen', 'Will Forte', 'Will Ferrell', 'Jason Sudeikis', 'Martin Short', 'Jenny Slate', 'Sarah Silverman', 'Michaela Watkins', 'Robert Downey Jr.', 'Bill Hader']",10
Brainiac: Transmissions After Zero,https://www.imdb.com/title/tt7974564/,1,['Fred Armisen'],1
My View: Clem Burke,https://www.imdb.com/title/tt8233474/,1,['Fred Armisen'],1
The Gong Show,https://www.imdb.com/title/tt6128376/,9,"['Fred Armisen', 'Maya Rudolph', 'Will Forte', 'Rob Riggle', 'Jason Sudeikis', 'Dana Carvey', 'Mike Myers', 'Andy Samberg']",8
Fred Armisen: Standup For Drummers,https://www.imdb.com/title/tt7924798/,1,['Fred Armisen'],1
60 Minutes,https://www.imdb.com/title/tt0123338/,18,"['Horatio Sanz', 'Seth Meyers', 'Fred Armisen', 'Nancy Carell', 'Maya Rudolph', 'Will Forte', 'Norm MacDonald', 'Will Ferrell', 'Chris Parnell', 'Adam Sandler', 'Billy Crystal', 'Darrell Hammond', 'Chris Rock', 'Julia Louis-Dreyfus', 'Amy Poehler', 'Kenan Thompson', 'Finesse Mitchell', 'Tina Fey']",18
Made in Hollywood,https://www.imdb.com/title/tt0911896/,34,"['Maya Rudolph', 'Dan Aykroyd', 'Will Ferrell', 'Eddie Murphy', 'Rob Schneider', 'Vanessa Bayer', 'David Koechner', 'Sarah Silverman', 'Robert Downey Jr.', 'Adam Sandler', 'Kevin Nealon', 'Jason Sudeikis', 'David Spade', 'Tracy Morgan', 'Billy Crystal', 'Leslie Jones', 'Jenny Slate', 'Bill Hader', 'Joan Cusack', 'Kate McKinnon', 'Bill Murray', 'Will Forte', 'Rob Riggle', 'Molly Shannon', 'Andy Samberg', 'Julia Louis-Dreyfus', 'Kristen Wiig', 'Ben Stiller', 'Amy Poehler', 'Fred Armisen', 'Martin Short', 'Jon Lovitz', 'Chris Rock', 'Tina Fey']",34
