,person,credit_type,year,title,imdb_link,media_type,total_episode_count,add_info,year_start,year_end,keep?
13466,Michael O'Donoghue,self,1976-1979,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Self / Self - Impressionist",3,"1976-1979

Saturday Night Live
(TV Series)

Self / Self - Impressionist

- Buck Henry/Bette Midler
(1979)
... Self


- Lily Tomlin/James Taylor
(1976)
... Self (uncredited)


- Buck Henry/Bill Withers, Toni Basil
(1976)
... Self - Impressionist",1976,1979,keep_year
13481,Michael O'Donoghue,producer,1981-1981,Saturday Night Live,https://www.imdb.com/title/tt0072562/,(TV Series) (supervising producer - 9 episodes),9,"1981

Saturday Night Live
(TV Series) (supervising producer - 9 episodes)


- Bill Murray/The Spinners/Yale Whiffenpoofs
(1981)
... (supervising producer)


- Tim Curry/Meat Loaf/The Neverland Express
(1981)
... (supervising producer)


- Bernadette Peters/The Go-Go's/Billy Joel
(1981)
... (supervising producer)


- Lauren Hutton/Rick James & The Stone City Band
(1981)
... (supervising producer)


- Donald Pleasance/Fear
(1981)
... (supervising producer)





Show all 9 episodes",1981,1981,keep_year
13517,Cheri Oteri,actress,1995-2000,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Various / Barbara Walters / Arianna / ...",98,"1995-2000

Saturday Night Live
(TV Series)

Various / Barbara Walters / Arianna / ...

- Jackie Chan/Kid Rock
(2000)
... Various


- Britney Spears
(2000)
... Various


- John Goodman/Neil Young
(2000)
... Various / Kathie Lee Gifford / Adele


- Tobey Maguire/Sisqo
(2000)
... Various


- Christopher Walken/Christina Aguilera
(2000)
... Various





Show all 98 episodes",1995,2000,keep_year
13627,Cheri Oteri,self,1995-1995,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Self / Businesswoman / Debbie Reynolds / ...",1,"1995

Saturday Night Live
(TV Series)

Self / Businesswoman / Debbie Reynolds / ...

- Mariel Hemingway/Blues Traveler
(1995)
... Self / Businesswoman / Debbie Reynolds / ...",1995,1995,keep_year
13675,Chris Parnell,actor,1998-2012,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Various / Tom Brokaw / Jim Lehrer / ...",148,"1998-2012

Saturday Night Live
(TV Series)

Various / Tom Brokaw / Jim Lehrer / ...

- Daniel Craig/Muse
(2012)
... Jim Lehrer (uncredited)


- Anna Faris/Duffy
(2008)
... Jim Lehrer (uncredited)


- Kevin Spacey/Nelly Furtado
(2006)
... Various / The Falconer


- Julia Louis-Dreyfus/Paul Simon
(2006)
... Various / Bert Convy


- Tom Hanks/Red Hot Chili Peppers
(2006)
... Various





Show all 148 episodes",1998,2012,keep_year
13829,Chris Parnell,self,2004-2012,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Self / Various Characters",2,"2004-2012

Saturday Night Live
(TV Series)

Self / Various Characters

- Mick Jagger
(2012)
... Self (uncredited)


- Drew Barrymore/Kelis
(2004)
... Self / Various Characters",2004,2012,keep_year
13864,Nasim Pedrad,actress,2009-2018,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Various / Kim Kardashian / Arianna Huffington / ...",109,"2009-2018

Saturday Night Live
(TV Series)

Various / Kim Kardashian / Arianna Huffington / ...

- John Mulaney/Jack White
(2018)
... Ma Anand Sheela (uncredited)


- Andy Samberg/St. Vincent
(2014)
... Kim Kardashian / Various


- Charlize Theron/The Black Keys
(2014)
... Heshy / Various


- Andrew Garfield/Coldplay
(2014)
... Bruno Mars / Various


- Seth Rogen/Ed Sheeran
(2014)
... Governor Bobby Jindal / Shallon / Various





Show all 109 episodes",2009,2018,keep_year
13955,Jay Pharoah,actor,2010-2016,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Various / Barack Obama / Kanye West / ...",128,"2010-2016

Saturday Night Live
(TV Series)

Various / Barack Obama / Kanye West / ...

- Fred Armisen/Courtney Barnett
(2016)
... Various


- Drake
(2016)
... Ben Carson / Amir / Various


- Brie Larson/Alicia Keys
(2016)
... Tupac Shakur / Various


- Julia Louis-Dreyfus/Nick Jonas
(2016)
... Shaquille O'Neal / Various


- Russell Crowe/Margo Price
(2016)
... Various





Show all 128 episodes",2010,2016,keep_year
14072,Joe Piscopo,self,1981-1982,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Self / Various / Announcer / ...",4,"1981-1982

Saturday Night Live
(TV Series)

Self / Various / Announcer / ...

- Robert Blake/Kenny Loggins
(1982)
... Self / Announcer / Froggy / ...


- Chevy Chase/Queen
(1982)
... Self / David Letterman


- Elizabeth Ashley/Hall & Oates
(1982)
... Self / Various / Dan Rather / ...


- Bill Murray/The Spinners/Yale Whiffenpoofs
(1981)
... Self / Tom Snyder / Various",1981,1982,keep_year
14087,Joe Piscopo,actor,1980-1984,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Various / Frank Sinatra / Paulie Herman / ...",68,"1980-1984

Saturday Night Live
(TV Series)

Various / Frank Sinatra / Paulie Herman / ...

- Billy Crystal/Ed Koch/Edwin Newman/Father Guido Sarducci/Betty Thomas/The Cars
(1984)
... Various / Frank Sinatra / Curly


- Barry Bostwick/Spinal Tap
(1984)
... Various


- George McGovern/Madness
(1984)
... Various


- Michael Douglas/Deniece Williams
(1984)
... Various / Karl Malden


- Billy Crystal/Al Jarreau
(1984)
... Various





Show all 68 episodes",1980,1984,keep_year
14090,Joe Piscopo,writer,1982-1984,Saturday Night Live,https://www.imdb.com/title/tt0072562/,(TV Series) (writer - 38 episodes),38,"1982-1984

Saturday Night Live
(TV Series) (writer - 38 episodes)


- Billy Crystal/Ed Koch/Edwin Newman/Father Guido Sarducci/Betty Thomas/The Cars
(1984)
... (writer)


- Barry Bostwick/Spinal Tap
(1984)
... (writer)


- George McGovern/Madness
(1984)
... (writer)


- Michael Douglas/Deniece Williams
(1984)
... (writer)


- Billy Crystal/Al Jarreau
(1984)
... (writer)





Show all 38 episodes",1982,1984,keep_year
14158,Amy Poehler,actress,2001-2012,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Various / Weekend Update Anchor / Hillary Clinton / ...",146,"2001-2012

Saturday Night Live
(TV Series)

Various / Weekend Update Anchor / Hillary Clinton / ...

- Maya Rudolph/Sleigh Bells
(2012)
... Self / Hillary Clinton / Betty Caruso (uncredited)


- Jimmy Fallon/Michael Bublé
(2011)
... Self / Patrice Donovan (uncredited)


- Betty White/Jay-Z
(2010)
... Various (uncredited)


- Will Ferrell/Green Day
(2009)
... Weekend Update Anchor / Self (uncredited)


- Hugh Laurie/Kanye West
(2008)
... Weekend Update Anchor / Various





Show all 146 episodes",2001,2012,keep_year
14373,Amy Poehler,self,2009-2020,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Self / Self - Host / Various / ...",7,"2009-2020

Saturday Night Live
(TV Series)

Self / Self - Host / Various / ...

- Saturday Night Live at Home: Tom Hanks/Chris Martin
(2020)
... Self (uncredited)


- Tina Fey & Amy Poehler/Bruce Springsteen and the E Street Band
(2015)
... Self - Host / Hillary Clinton / Helen Walsh / ...


- Melissa McCarthy/Imagine Dragons
(2014)
... Self (uncredited)


- Ben Affleck/Kanye West
(2013)
... Self (uncredited)


- Mick Jagger
(2012)
... Self (uncredited)





Show all 7 episodes",2009,2020,keep_year
14466,Emily Prager,actress,1977-1981,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Passerby / Various / Patron / ...",4,"1977-1981

Saturday Night Live
(TV Series)

Passerby / Various / Patron / ...

- Susan Saint James/The Kinks
(1981)
... Passerby (uncredited)


- Jr. Walker & the All-Stars
(1981)
... Various


- Mary Kay Place/Willie Nelson
(1977)
... Patron (uncredited)


- Buck Henry/Leon Redbone
(1977)
... Guest (uncredited)",1977,1981,keep_year
14502,Randy Quaid,actor,1985-1991,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Various / Ronald Reagan / Ed McMahon / ...",18,"1985-1991

Saturday Night Live
(TV Series)

Various / Ronald Reagan / Ed McMahon / ...

- Catherine O'Hara/R.E.M.
(1991)
... Paul (uncredited)


- Anjelica Huston and Billy Martin/George Clinton & Parliament-Funkadelic
(1986)
... Ed McMahon / Frank Hawkins / Various


- Jimmy Breslin and Marvin Hagler/Level 42/E.G. Daily
(1986)
... Ronald Reagan / Emilio Largo / Lone Wolf McCord / ...


- Catherine Oxenberg and Paul Simon/Ladysmith Black Mambazo
(1986)
... Ed McMahon / Various


- Tony Danza/Laurie Anderson
(1986)
... Lyndon LaRouche / Bobby 'Longball' Halverson / Various





Show all 18 episodes",1985,1991,keep_year
14592,Randy Quaid,self,1986-1986,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Self / Eskimo / Various",1,"1986

Saturday Night Live
(TV Series)

Self / Eskimo / Various

- George Wendt and Francis Ford Coppola/Philip Glass
(1986)
... Self / Eskimo / Various",1986,1986,keep_year
14670,Colin Quinn,self,1996-2001,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Self / Weekend Update Anchor / Ben / ...",4,"1996-2001

Saturday Night Live
(TV Series)

Self / Weekend Update Anchor / Ben / ...

- Drew Barrymore/Macy Gray
(2001)
... Self (uncredited)


- Vince Vaughn/Lauryn Hill
(1998)
... Self / Weekend Update Anchor


- Chevy Chase/Live
(1997)
... Self / Ben


- John Goodman/Everclear
(1996)
... Self / maintenance man",1996,2001,keep_year
14693,Colin Quinn,actor,1995-2000,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Various / Weekend Update Anchor / Joe Blow / ...",86,"1995-2000

Saturday Night Live
(TV Series)

Various / Weekend Update Anchor / Joe Blow / ...

- Jackie Chan/Kid Rock
(2000)
... Various / Weekend Update Anchor


- Britney Spears
(2000)
... Various / Weekend Update Anchor


- John Goodman/Neil Young
(2000)
... Various / Weekend Update Anchor


- Tobey Maguire/Sisqo
(2000)
... Weekend Update Anchor


- Christopher Walken/Christina Aguilera
(2000)
... Weekend Update Anchor





Show all 86 episodes",1995,2000,keep_year
14780,Gilda Radner,actress,1975-1980,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Various / Emily Litella / Baba Wawa / ...",99,"1975-1980

Saturday Night Live
(TV Series)

Various / Emily Litella / Baba Wawa / ...

- Buck Henry/Andrew Gold/Andrae Crouch & Voices of Unity
(1980)
... Lady Douchebag / Buffy Sainte-Marie / Roseanne Roseannadanna / ...


- Steve Martin/Paul & Linda McCartney/3-D
(1980)
... Amelia Kane / Ruth / Cavewoman / ...


- Bob Newhart/The Amazing Rhythm Aces/Bruce Cockburn
(1980)
... Keiko Masuda / Colleen Fernman / Mrs. Travers / ...


- Strother Martin/The Specials
(1980)
... Various


- Burt Reynolds/Anne Murray
(1980)
... Various





Show all 99 episodes",1975,1980,keep_year
14783,Gilda Radner,writer,1975-1978,Saturday Night Live,https://www.imdb.com/title/tt0072562/,(TV Series) (additional material - 3 episodes),3,"1975-1978

Saturday Night Live
(TV Series) (additional material - 3 episodes)


- Christopher Lee/Meat Loaf
(1978)
... (additional material)


- Buck Henry/Jennifer Warnes/Kenny Vance
(1977)
... (additional material - uncredited)


- Robert Klein/ABBA, Loudon Wainwright III
(1975)
... (additional material - uncredited)",1975,1978,keep_year
14790,Gilda Radner,self,1976-1979,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Self / Conchita / Girl / ...",8,"1976-1979

Saturday Night Live
(TV Series)

Self / Conchita / Girl / ...

- Eric Idle/Bob Dylan
(1979)
... Self / Conchita / Girl / ...


- Christopher Lee/Meat Loaf
(1978)
... Self / Assistant / Baba Wawa / ...


- Mary Kay Place/Willie Nelson
(1977)
... Self / Dickie Neil / bachelorette / ...


- Buck Henry/Leon Redbone
(1977)
... Self / Stagehand / Anya / ...


- Charles Grodin/Paul Simon
(1977)
... Self / Sharlene Van Arsdale / Customer / ...





Show all 8 episodes",1976,1979,keep_year
14827,Chris Redd,actor,2017-2021,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Various / Lil Nas X / Lil Wayne / ...",80,"2017-2021

Saturday Night Live
(TV Series)

Various / Lil Nas X / Lil Wayne / ...

- Anya Taylor-Joy/Lil Nas X
(2021)
... Various


- Keegan-Michael Key/Olivia Rodrigo
(2021)
... Various


- Elon Musk/Miley Cyrus
(2021)
... Various


- Carey Mulligan/Kid Cudi
(2021)
... Various


- Daniel Kaluuya/St. Vincent
(2021)
... Various / Lil Nas X





Show all 80 episodes",2017,2021,keep_year
15040,Rob Riggle,actor,2004-2005,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Various / Rick Sanchez / Larry the Cable Guy / ...",21,"2004-2005

Saturday Night Live
(TV Series)

Various / Rick Sanchez / Larry the Cable Guy / ...

- Lindsay Lohan/Coldplay
(2005)
... Various


- Will Ferrell/Queens of the Stone Age
(2005)
... Various


- Johnny Knoxville/System of a Down
(2005)
... Various


- Tom Brady/Beck
(2005)
... Various


- Cameron Diaz/Green Day
(2005)
... Various





Show all 21 episodes",2004,2005,keep_year
15111,Ann Risley,actress,1980-1981,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Various / Rosalynn Carter / Doria Reagan / ...",12,"1980-1981

Saturday Night Live
(TV Series)

Various / Rosalynn Carter / Doria Reagan / ...

- Bill Murray/Delbert McClinton
(1981)
... Various


- Charlene Tilton/Todd Rundgren/Prince
(1981)
... Doria Reagan / Various


- Deborah Harry
(1981)
... Beverly Long / Various


- Sally Kellerman/Jimmy Cliff
(1981)
... Common Campbell / Various


- Robert Hays/14 Karat Soul/Joe 'King' Carrasco & The Crowns
(1981)
... Tiffany Fleur / Various





Show all 12 episodes",1980,1981,keep_year
15161,Tim Robinson,actor,2012-2013,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Various / Carl / Bill Cowher / ...",21,"2012-2013

Saturday Night Live
(TV Series)

Various / Carl / Bill Cowher / ...

- Ben Affleck/Kanye West
(2013)
... Various


- Kristen Wiig/Vampire Weekend
(2013)
... Various


- Zach Galifianakis/Of Monsters and Men
(2013)
... Various


- Vince Vaughn/Miguel
(2013)
... Various


- Melissa McCarthy/Phoenix
(2013)
... Various





Show all 21 episodes",2012,2013,keep_year
