person,year_start,year_end,num_seasons,repertory_player,featured_player,middle_group,weekend_update,hosted,best_of,writer,imdb_link
Gary Kroeger,1982,1985.0,3,y,,,,,,,https://www.imdb.com/name/nm0471856/?ref_=fn_nm_nm_1
Matthew Laurance,1980,1981.0,1,,y,,,,,,https://www.imdb.com/name/nm0491005/?ref_=fn_nm_nm_1
Julia Louis-Dreyfus,1982,1985.0,3,y,,,,y,,,https://www.imdb.com/name/nm0000506/?ref_=fn_nm_nm_1
Jon Lovitz,1985,1990.0,5,y,,,,y,y,,https://www.imdb.com/name/nm0001484/?ref_=fn_nm_nm_1
Norm MacDonald,1993,1998.0,5,y,y,,y,y,,y,https://www.imdb.com/name/nm0005172/?ref_=fn_al_nm_1
Gail Matthius,1980,1981.0,1,y,,,y,,,,https://www.imdb.com/name/nm0560257/?ref_=fn_nm_nm_1
Michael McKean,1994,1995.0,2,y,,,,y,,,https://www.imdb.com/name/nm0571106/?ref_=fn_nm_nm_1
Mark McKinney,1995,1997.0,3,y,,,,,,,https://www.imdb.com/name/nm0571897/?ref_=fn_nm_nm_1
Kate McKinnon,2012,2021.0,10,y,y,,,,,,https://www.imdb.com/name/nm0571952/?ref_=fn_nm_nm_1
Tim Meadows,1991,2000.0,10,y,,y,,,y,y,https://www.imdb.com/name/nm0005218/?ref_=fn_nm_nm_1
Laurie Metcalf,1981,,1,,y,,,,,,https://www.imdb.com/name/nm0582418/?ref_=fn_nm_nm_1
Seth Meyers,2001,2014.0,13,y,y,,y,y,,y,https://www.imdb.com/name/nm1024878/?ref_=fn_nm_nm_1
John Milhiser,2013,2014.0,1,,y,,,,,,https://www.imdb.com/name/nm2275887/?ref_=fn_nm_nm_1
Dennis Miller,1985,1991.0,6,y,,,y,,,y,https://www.imdb.com/name/nm0588222/?ref_=fn_nm_nm_1
Jerry Minor,2000,2001.0,1,,y,,,,,y,https://www.imdb.com/name/nm0591576/?ref_=fn_nm_nm_1
Finesse Mitchell,2003,2006.0,3,y,y,,,,,,https://www.imdb.com/name/nm1459509/?ref_=fn_nm_nm_1
Alex Moffat,2016,2021.0,5,y,y,,,,,,https://www.imdb.com/name/nm5803981/?ref_=fn_nm_nm_1
Jay Mohr,1993,1995.0,2,,y,,,,,y,https://www.imdb.com/name/nm0001542/?ref_=fn_nm_nm_1
Kyle Mooney,2013,2021.0,8,y,y,,,,,,https://www.imdb.com/name/nm3324982/?ref_=fn_nm_nm_1
Tracy Morgan,1996,2003.0,7,y,,,,y,y,,https://www.imdb.com/name/nm0605079/?ref_=fn_nm_nm_1
Garrett Morris,1975,1980.0,5,y,,,,,,y,https://www.imdb.com/name/nm0606541/?ref_=fn_nm_nm_1
Bobby Moynihan,2008,2017.0,9,y,y,,,,,,https://www.imdb.com/name/nm1293885/?ref_=fn_nm_nm_1
Eddie Murphy,1980,1984.0,4,y,y,,,y,y,y,https://www.imdb.com/name/nm0000552/?ref_=fn_nm_nm_1
Bill Murray,1977,1980.0,4,y,,,y,y,,y,https://www.imdb.com/name/nm0000195/?ref_=fn_nm_nm_1
Mike Myers,1989,1995.0,7,y,y,,,y,y,y,https://www.imdb.com/name/nm0000196/?ref_=fn_nm_nm_1
Kevin Nealon,1986,1995.0,9,y,y,,y,,,y,https://www.imdb.com/name/nm0005265/?ref_=fn_nm_nm_1
Laraine Newman,1975,1980.0,5,y,,,,,,,https://www.imdb.com/name/nm0628170/?ref_=fn_nm_nm_1
Don Novello,1979,1986.0,2,,y,,,y,,,https://www.imdb.com/name/nm0637038/?ref_=fn_nm_nm_1
Luke Null,2017,2018.0,1,,y,,,,,,https://www.imdb.com/name/nm3760937/?ref_=fn_nm_nm_1
Ego Nwodim,2018,2021.0,3,y,y,,,,,,https://www.imdb.com/name/nm4945455/?ref_=fn_nm_nm_1
Mike O'Brien,2013,2014.0,1,,y,,,,,y,https://www.imdb.com/name/nm0639735/?ref_=fn_nm_nm_2
Michael O'Donoghue,1975,,1,y,,,,,,y,https://www.imdb.com/name/nm0640874/?ref_=fn_nm_nm_1
Cheri Oteri,1995,2000.0,5,y,,,,,y,,https://www.imdb.com/name/nm0652783/?ref_=fn_nm_nm_1
Chris Parnell,1998,2006.0,8,y,y,,,,,,https://www.imdb.com/name/nm0663177/?ref_=fn_nm_nm_1
Nasim Pedrad,2009,2014.0,5,y,y,,,,,,https://www.imdb.com/name/nm1840659/?ref_=fn_nm_nm_1
Jay Pharoah,2010,2016.0,6,y,y,,,,,,https://www.imdb.com/name/nm3982894/?ref_=fn_nm_nm_1
Joe Piscopo,1980,1984.0,4,y,,,,,,y,https://www.imdb.com/name/nm0685472/?ref_=fn_nm_nm_1
Amy Poehler,2001,2008.0,8,y,y,,y,y,y,,https://www.imdb.com/name/nm0688132/?ref_=fn_nm_nm_1
Emily Prager,1981,,1,,y,,,,,,https://www.imdb.com/name/nm0695104/?ref_=fn_nm_nm_1
Randy Quaid,1985,1986.0,1,y,,,,,,,https://www.imdb.com/name/nm0001642/?ref_=fn_nm_nm_1
Colin Quinn,1996,2000.0,5,y,y,,y,,,y,https://www.imdb.com/name/nm0703800/?ref_=fn_nm_nm_1
Gilda Radner,1975,1980.0,5,y,,,,,y,,https://www.imdb.com/name/nm0705717/?ref_=fn_nm_nm_1
Chris Redd,2017,2021.0,4,y,y,,,,,,https://www.imdb.com/name/nm5412083/?ref_=fn_nm_nm_1
Jeff Richards,2001,2004.0,3,y,y,,,,,,https://www.imdb.com/name/nm0724143/?ref_=fn_nm_nm_1
Rob Riggle,2004,2005.0,1,,y,,,,,,https://www.imdb.com/name/nm1443527/?ref_=fn_nm_nm_1
Ann Risley,1980,1981.0,1,y,,,,,,,https://www.imdb.com/name/nm0728315/?ref_=fn_nm_nm_1
Tim Robinson,2012,2013.0,1,,y,,,,,y,https://www.imdb.com/name/nm4200503/?ref_=fn_nm_nm_1
Chris Rock,1990,1993.0,3,y,,y,,y,y,,https://www.imdb.com/name/nm0001674/?ref_=fn_nm_nm_1
Charles Rocket,1980,1981.0,1,y,,,y,,,,https://www.imdb.com/name/nm0734236/?ref_=fn_nm_nm_1
Tony Rosato,1981,1982.0,2,y,,,,,,y,https://www.imdb.com/name/nm0711014/?ref_=fn_nm_nm_1
Jon Rudnitsky,2015,2016.0,1,,y,,,,,,https://www.imdb.com/name/nm4339544/?ref_=fn_nm_nm_1
Maya Rudolph,2000,2007.0,9,y,y,,,y,,,https://www.imdb.com/name/nm0748973/?ref_=fn_nm_nm_1
Andy Samberg,2005,2012.0,7,y,y,,,y,,y,https://www.imdb.com/name/nm1676221/?ref_=fn_nm_nm_1
Adam Sandler,1991,1995.0,5,y,y,y,,y,y,y,https://www.imdb.com/name/nm0001191/?ref_=fn_nm_nm_1
Horatio Sanz,1998,2006.0,8,y,y,,y,,,,https://www.imdb.com/name/nm0764445/?ref_=fn_nm_nm_1
