person,credit_type,year,title,imdb_link,episode_count,add_info,year_start,year_end,keep?
Fred Armisen,actor-tt7370554,2016,5-Second Films,https://www.imdb.com/title/tt7370554/,2,"2016

5-Second Films
(TV Series)

Alejandro Iñárritu / Fred Alarmisen

- The Revenanting
(2016)
... Alejandro Iñárritu


- Fred Alarmisen
(2016)
... Fred Alarmisen",2016,0,keep_year
Fred Armisen,actor-tt1608290,2016,Zoolander 2,https://www.imdb.com/title/tt1608290/,0,"2016

Zoolander 2

VIP",2016,0,keep_year
Fred Armisen,actor-tt5357798,2016,Portlandia Presents: Talkative Driver,https://www.imdb.com/title/tt5357798/,1,"2016

Portlandia Presents: Talkative Driver
(TV Series)

Paul

- Talkative Driver: Conversation Inspector
(2016)
... Paul",2016,0,keep_year
Fred Armisen,actor-tt2818496,2013-2015,The Awesomes,https://www.imdb.com/title/tt2818496/,5,"2013-2015

The Awesomes
(TV Series)

Jeffrey Kaplan / Stage Manager

- The Final Showdown
(2015)


- Super(Hero) Tuesday
(2015)


- The Dames of Danger
(2015)
... Jeffrey Kaplan (voice)


- Awesomes for Hire
(2015)
... Jeffrey Kaplan (voice)


- Pilot, Part 2
(2013)
... Stage Manager (voice)",2013,2015,keep_year
Fred Armisen,actor-tt3530232,2015,Last Week Tonight with John Oliver,https://www.imdb.com/title/tt3530232/,1,"2015

Last Week Tonight with John Oliver
(TV Series)

Voice Over Cast

- Sex Ed
(2015)
... Voice Over Cast (voice)",2015,0,keep_year
Fred Armisen,actor-tt4840666,2015,Looney Tunes: Rabbits Run,https://www.imdb.com/title/tt4840666/,0,"2015

Looney Tunes: Rabbits Run

Speedy Gonzales (voice)",2015,0,keep_year
Fred Armisen,actor-tt6316702,2015,Jenny Lewis: She's Not Me,https://www.imdb.com/title/tt6316702/,0,"2015

Jenny Lewis: She's Not Me
(Video short)

Gilded Gal / Corey Woods",2015,0,keep_year
Fred Armisen,actor-tt4211246,2015,George and the Vacuum,https://www.imdb.com/title/tt4211246/,0,"2015

George and the Vacuum
(Short)

George",2015,0,keep_year
Fred Armisen,actor-tt3895884,2015,7 Days in Hell,https://www.imdb.com/title/tt3895884/,0,"2015

7 Days in Hell
(TV Movie)

Edward Pudding",2015,0,keep_year
Fred Armisen,actor-tt4178186,2014,Every Morning,https://www.imdb.com/title/tt4178186/,0,"2014

Every Morning
(Short)",2014,0,keep_year
Fred Armisen,actor-tt1486217,2014,Archer,https://www.imdb.com/title/tt1486217/,5,"2014

Archer
(TV Series)

Gustavo Calderon

- Archer Vice: Filibuster
(2014)
... Gustavo Calderon (voice)


- Archer Vice: Palace Intrigue: Part II
(2014)
... Gustavo Calderon (voice)


- Archer Vice: Palace Intrigue - Part I
(2014)
... Gustavo Calderon (voice)


- Archer Vice: On the Carpet
(2014)
... Gustavo Calderon (voice)


- Archer Vice: White Elephant
(2014)
... (voice)",2014,0,keep_year
Fred Armisen,actor-tt1442437,2014,Modern Family,https://www.imdb.com/title/tt1442437/,1,"2014

Modern Family
(TV Series)

Langham

- Vegas
(2014)
... Langham",2014,0,keep_year
Fred Armisen,actor-tt1797404,2014,House of Lies,https://www.imdb.com/title/tt1797404/,1,"2014

House of Lies
(TV Series)

Vincent

- Comeuppance
(2014)
... Vincent",2014,0,keep_year
Fred Armisen,actor-tt2578560,2014,Broad City,https://www.imdb.com/title/tt2578560/,1,"2014

Broad City
(TV Series)

David the Baby

- What a Wonderful World
(2014)
... David the Baby",2014,0,keep_year
Fred Armisen,actor-tt5877444,2014,Above Average Presents,https://www.imdb.com/title/tt5877444/,1,"2014

Above Average Presents
(TV Series)


- New Series, More Laughs! Coming Soon to Above Average
(2014)",2014,0,keep_year
Fred Armisen,actor-tt4145640,2013,The Clash: The Last Gang in Town,https://www.imdb.com/title/tt4145640/,0,"2013

The Clash: The Last Gang in Town
(Short)",2013,0,keep_year
Fred Armisen,actor-tt2103188,2013,Grand Theft Auto V,https://www.imdb.com/title/tt2103188/,0,"2013

Grand Theft Auto V
(Video Game)

Hugh Harrison (voice)",2013,0,keep_year
Fred Armisen,actor-tt2017020,2013,The Smurfs 2,https://www.imdb.com/title/tt2017020/,0,"2013

The Smurfs 2

Brainy Smurf (voice)",2013,0,keep_year
