person,year_start,year_end,num_seasons_total,num_seasons_writer,num_seasons_headwriter,num_seasons_actor,num_seasons_rep,num_seasons_featured,num_seasons_middle,num_seasons_weekend_update,num_episodes_weekend_updates,best_of,num_episodes_hosted,imdb_link,num_episodes_writer,num_episodes_actor,num_episodes_other,coefficient
Chloe Fineman,2019,2021,2,0,0,2,2,0,0,0,0,0,0,https://www.imdb.com/name/nm4806887/?ref_=fn_nm_nm_1,0,42,0,0.09741791149122603
Will Forte,2002,2010,8,0,0,8,7,1,0,0,0,0,0,https://www.imdb.com/name/nm0287182/?ref_=fn_nm_nm_1,0,156,3,0.11761729218615273
Heidi Gardner,2017,2021,4,0,0,4,2,2,0,0,0,0,0,https://www.imdb.com/name/nm5906920/?ref_=fn_nm_nm_1,0,84,0,0.10233582298245206
Janeane Garofalo,1994,1995,1,0,0,1,1,0,0,0,0,0,0,https://www.imdb.com/name/nm0000413/?ref_=fn_nm_nm_1,0,14,0,0.09282724709282002
Ana Gasteyer,1996,2002,6,0,0,6,6,0,0,0,0,0,0,https://www.imdb.com/name/nm0309430/?ref_=fn_nm_nm_1,0,121,4,0.11173347160401761
Gilbert Gottfried,1980,1981,1,0,0,1,1,0,0,0,0,0,0,https://www.imdb.com/name/nm0331906/?ref_=fn_nm_nm_1,0,13,0,0.0927012887138496
Bill Hader,2005,2013,8,0,0,8,7,1,0,0,0,0,2,https://www.imdb.com/name/nm0352778/?ref_=fn_nm_nm_1,4,161,6,0.118811158560742
Anthony Michael Hall,1985,1986,1,0,0,1,1,0,0,0,0,0,0,https://www.imdb.com/name/nm0001309/?ref_=fn_nm_nm_1,0,12,6,0.09273962387266668
Darrell Hammond,1995,2009,14,0,0,14,14,0,0,0,0,0,0,https://www.imdb.com/name/nm0358669/?ref_=fn_nm_nm_1,0,313,112,0.1473854023443872
Lauren Holt,2020,2021,1,0,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm7576527/?ref_=fn_nm_nm_1,0,20,0,0.08858299736664259
Jan Hooks,1986,1991,5,0,0,5,5,0,0,0,0,0,0,https://www.imdb.com/name/nm0393660/?ref_=fn_nm_nm_1,0,100,3,0.10799713360210669
Yvonne Hudson,1980,1981,1,0,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm0399994/?ref_=fn_nm_nm_1,0,31,0,0.08996853953531729
Melanie Hutsell,1991,1994,3,0,0,3,1,2,0,0,0,0,0,https://www.imdb.com/name/nm0404525/?ref_=fn_nm_nm_1,0,53,2,0.09658871462639727
Victoria Jackson,1986,1992,6,0,0,6,6,0,0,0,0,0,0,https://www.imdb.com/name/nm0414130/?ref_=fn_nm_nm_1,0,109,4,0.11022197105637248
Punkie Johnson,2020,2021,1,0,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm9790618/?ref_=fn_nm_nm_1,0,24,0,0.0890868308825243
Chris Kattan,1996,2003,7,0,0,8,7,1,0,0,0,1,0,https://www.imdb.com/name/nm0441592/?ref_=fn_nm_nm_1,0,148,4,0.1283410347663103
Taran Killam,2010,2016,6,0,0,6,4,2,0,0,0,0,0,https://www.imdb.com/name/nm0453115/?ref_=fn_nm_nm_1,0,128,0,0.11083898456495225
David Koechner,1995,1996,1,0,0,1,1,0,0,0,0,0,0,https://www.imdb.com/name/nm0462712/?ref_=fn_nm_nm_1,0,21,0,0.09370895574561301
Gary Kroeger,1982,1985,3,0,0,3,3,0,0,0,0,0,0,https://www.imdb.com/name/nm0471856/?ref_=fn_nm_nm_1,0,56,1,0.10027254084034397
Matthew Laurance,1980,1981,1,0,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm0491005/?ref_=fn_nm_nm_1,0,9,1,0.08722483745426582
Julia Louis-Dreyfus,1982,1985,3,0,0,3,3,0,0,0,0,0,3,https://www.imdb.com/name/nm0000506/?ref_=fn_nm_nm_1,0,58,2,0.10055183985458274
Jon Lovitz,1985,1990,5,0,0,5,5,0,0,0,0,1,1,https://www.imdb.com/name/nm0001484/?ref_=fn_nm_nm_1,0,91,10,0.10705518398545828
