person,title,imdb_link,snl_alums,credits_count,snl_alums_count
Fred Armisen,Forever,https://www.imdb.com/title/tt7720790/,,3,
Fred Armisen,Splitting Up Together,https://www.imdb.com/title/tt6492236/,,3,
Fred Armisen,Portlandia,https://www.imdb.com/title/tt1780441/,,14,
Fred Armisen,The Last Man on Earth,https://www.imdb.com/title/tt3230454/,,5,
Fred Armisen,A Christmas Story Live!,https://www.imdb.com/title/tt6881890/,,3,
Fred Armisen,The Lego Ninjago Movie,https://www.imdb.com/title/tt3014284/,,2,
Fred Armisen,Battle of the Sexes,https://www.imdb.com/title/tt4622512/,,2,
Fred Armisen,Comrade Detective,https://www.imdb.com/title/tt5834198/,,2,
Fred Armisen,The House of Tomorrow,https://www.imdb.com/title/tt5910344/,,1,
Fred Armisen,"Michael Bolton's Big, Sexy Valentine's Day Special",https://www.imdb.com/title/tt6343706/,,7,
Fred Armisen,Take the 10,https://www.imdb.com/title/tt5792472/,,2,
Fred Armisen,Rudy,https://www.imdb.com/title/tt7418438/,,1,
Fred Armisen,Late Night with Seth Meyers,https://www.imdb.com/title/tt3513388/,,60,
Fred Armisen,Ordinary World,https://www.imdb.com/title/tt4189494/,,1,
Fred Armisen,Man Seeking Woman,https://www.imdb.com/title/tt4189492/,,7,
Fred Armisen,New Girl,https://www.imdb.com/title/tt1826940/,,7,
Fred Armisen,Long Live the Royals,https://www.imdb.com/title/tt3751400/,,2,
Fred Armisen,Phantom Boy,https://www.imdb.com/title/tt1856057/,,1,
Fred Armisen,The Jim Gaffigan Show,https://www.imdb.com/title/tt3484406/,,8,
Fred Armisen,Staten Island Summer,https://www.imdb.com/title/tt3137764/,,5,
Fred Armisen,Deadbeat,https://www.imdb.com/title/tt3147316/,,4,
Fred Armisen,Addicted to Fresno,https://www.imdb.com/title/tt4000870/,,2,
Fred Armisen,Elf: Buddy's Musical Christmas,https://www.imdb.com/title/tt4147830/,,2,
Fred Armisen,Ambiance Man,https://www.imdb.com/title/tt3397576/,,1,
Fred Armisen,Fred Armisen Joins the Flaming Lips,https://www.imdb.com/title/tt4094614/,,1,
Fred Armisen,Chozen,https://www.imdb.com/title/tt3221268/,,2,
Fred Armisen,The Sexiest Elbows in Rock Music,https://www.imdb.com/title/tt3611208/,,2,
Fred Armisen,Super Fun Night,https://www.imdb.com/title/tt2298477/,,2,
Fred Armisen,Tubbin' with Tash,https://www.imdb.com/title/tt3526302/,,1,
Fred Armisen,This One Time,https://www.imdb.com/title/tt3267778/,,1,
Fred Armisen,The Smurfs 2,https://www.imdb.com/title/tt3116840/,,1,
Fred Armisen,Jimmy Kimmel Live!,https://www.imdb.com/title/tt0320037/,,55,
Fred Armisen,Late Night with Jimmy Fallon,https://www.imdb.com/title/tt1231460/,,45,
Fred Armisen,Bob's Burgers,https://www.imdb.com/title/tt1561755/,,12,
Fred Armisen,Fun World,https://www.imdb.com/title/tt2435614/,,1,
Fred Armisen,The Front Desk,https://www.imdb.com/title/tt5861718/,,2,
Fred Armisen,30 Rock,https://www.imdb.com/title/tt0496424/,,19,
Fred Armisen,Starz on the Set: A Look Behind the Smurfs 3D,https://www.imdb.com/title/tt5435134/,,1,
Fred Armisen,Easy A,https://www.imdb.com/title/tt1282140/,,1,
Fred Armisen,Red Dead Redemption,https://www.imdb.com/title/tt1479962/,,1,
Fred Armisen,Ugly Americans,https://www.imdb.com/title/tt1621748/,,6,
Fred Armisen,Cop Out,https://www.imdb.com/title/tt1385867/,,2,
Fred Armisen,Post Grad,https://www.imdb.com/title/tt1142433/,,1,
Fred Armisen,The Sarah Silverman Program.,https://www.imdb.com/title/tt0821375/,,2,
Fred Armisen,The Rocker,https://www.imdb.com/title/tt1031969/,,1,
Fred Armisen,Grand Theft Auto IV,https://www.imdb.com/title/tt0802999/,,2,
Fred Armisen,Human Giant,https://www.imdb.com/title/tt0876298/,,9,
Fred Armisen,Squidbillies,https://www.imdb.com/title/tt0457146/,,2,
Fred Armisen,Crank Yankers,https://www.imdb.com/title/tt0318959/,,6,
Fred Armisen,Aqua Teen Hunger Force Colon Movie Film for Theaters,https://www.imdb.com/title/tt0455326/,,3,
Fred Armisen,Freak Show,https://www.imdb.com/title/tt0854504/,,2,
Fred Armisen,Tenacious D in the Pick of Destiny,https://www.imdb.com/title/tt0365830/,,3,
Fred Armisen,Tom Goes to the Mayor,https://www.imdb.com/title/tt0425720/,,3,
Fred Armisen,Deuce Bigalow: European Gigolo,https://www.imdb.com/title/tt0367652/,,6,
Fred Armisen,Soundtracks Live,https://www.imdb.com/title/tt2935908/,,6,
Fred Armisen,Anchorman: The Legend of Ron Burgundy,https://www.imdb.com/title/tt0357413/,,6,
Fred Armisen,Comedy Lab,https://www.imdb.com/title/tt0178131/,,4,
Fred Armisen,Late Night with Conan O'Brien,https://www.imdb.com/title/tt0106052/,,70,
Fred Armisen,Next!,https://www.imdb.com/title/tt0777256/,,2,
Fred Armisen,Late World with Zach,https://www.imdb.com/title/tt0310481/,,1,
Fred Armisen,Guide to Music and South by Southwest,https://www.imdb.com/title/tt0447182/,,4,
Fred Armisen,The At-Home Variety Show,https://www.imdb.com/title/tt12305028/,,3,
Fred Armisen,Documentary Now!,https://www.imdb.com/title/tt4677934/,,13,
Fred Armisen,Paul Simon at the NY Auto Show,https://www.imdb.com/title/tt5750076/,,2,
Fred Armisen,Saturday Night Live: 40th Anniversary Special,https://www.imdb.com/title/tt3677742/,,40,
Fred Armisen,The Frank International Film Festival,https://www.imdb.com/title/tt0395151/,,2,
Fred Armisen,Guide to Music and South by Southwest,https://www.imdb.com/title/tt0447182/,,4,
Fred Armisen,Charm Circle,https://www.imdb.com/title/tt14754884/,,1,
Fred Armisen,My Favorite Shapes by Julio Torres,https://www.imdb.com/title/tt10624458/,,1,
Fred Armisen,Los Espookys,https://www.imdb.com/title/tt7721046/,,4,
Fred Armisen,Portlandia,https://www.imdb.com/title/tt1780441/,,14,
Fred Armisen,Kings of Leon for American Express Unstaged,https://www.imdb.com/title/tt3502454/,,1,
Fred Armisen,Guide to Music and South by Southwest,https://www.imdb.com/title/tt0447182/,,4,
Fred Armisen,Late Night with Seth Meyers,https://www.imdb.com/title/tt3513388/,,60,
Fred Armisen,Match Game,https://www.imdb.com/title/tt5672484/,,13,
Fred Armisen,Today,https://www.imdb.com/title/tt0044298/,,59,
Fred Armisen,The Sparks Brothers,https://www.imdb.com/title/tt8610436/,,2,
Fred Armisen,Saturday Night Live,https://www.imdb.com/title/tt0072562/,,232,
Fred Armisen,Magnum Dopus: The Making of Jay and Silent Bob Reboot,https://www.imdb.com/title/tt12179904/,,1,
Fred Armisen,Hero Worship,https://www.imdb.com/title/tt9816936/,,1,
Fred Armisen,Conan,https://www.imdb.com/title/tt1637574/,,40,
Fred Armisen,Off Camera with Sam Jones,https://www.imdb.com/title/tt3473134/,,5,
Fred Armisen,Brainiac: Transmissions After Zero,https://www.imdb.com/title/tt7974564/,,1,
Fred Armisen,My View: Clem Burke,https://www.imdb.com/title/tt8233474/,,1,
Fred Armisen,The Gong Show,https://www.imdb.com/title/tt6128376/,,7,
Fred Armisen,2017 MTV Video Music Awards,https://www.imdb.com/title/tt7325458/,,2,
Fred Armisen,Ok! TV,https://www.imdb.com/title/tt3503424/,,36,
Fred Armisen,Stand for Rights,https://www.imdb.com/title/tt6739764/,,6,
Fred Armisen,Popcorn with Peter Travers,https://www.imdb.com/title/tt5326328/,,1,
Fred Armisen,Party Legends,https://www.imdb.com/title/tt5849156/,,1,
Fred Armisen,Zoolander No. 2: Go Big or Go Rome,https://www.imdb.com/title/tt5858574/,,2,
Fred Armisen,The Late Show with Stephen Colbert,https://www.imdb.com/title/tt3697842/,,34,
Fred Armisen,Comedians in Cars Getting Coffee: Single Shot,https://www.imdb.com/title/tt3947198/,,7,
Fred Armisen,Close Up with the Hollywood Reporter,https://www.imdb.com/title/tt4931888/,,7,
Fred Armisen,The 74th Annual Peabody Awards,https://www.imdb.com/title/tt5086414/,,1,
Fred Armisen,Live from New York!,https://www.imdb.com/title/tt4355574/,,18,
Fred Armisen,Night of Too Many Stars: America Comes Together for Autism Programs,https://www.imdb.com/title/tt4465614/,,8,
Fred Armisen,30th Annual Film Independent Spirit Awards,https://www.imdb.com/title/tt4267078/,,1,
Fred Armisen,Sleater-Kinney: No Cities to Love,https://www.imdb.com/title/tt10074390/,,2,
Fred Armisen,Comedians in Cars Getting Coffee,https://www.imdb.com/title/tt2314952/,,11,
Fred Armisen,Good Morning America,https://www.imdb.com/title/tt0072506/,,35,
Fred Armisen,The 66th Primetime Emmy Awards,https://www.imdb.com/title/tt3860114/,,8,
Fred Armisen,Howard Stern Birthday Bash,https://www.imdb.com/title/tt3843176/,,6,
Fred Armisen,Comedy Bang! Bang!,https://www.imdb.com/title/tt2176287/,,23,
Fred Armisen,My Depression,https://www.imdb.com/title/tt3595878/,,1,
Fred Armisen,The 2014 Film Independent Spirit Awards,https://www.imdb.com/title/tt3410698/,,4,
Fred Armisen,Talking Dead,https://www.imdb.com/title/tt2089467/,,2,
Fred Armisen,The 65th Primetime Emmy Awards,https://www.imdb.com/title/tt3170732/,,9,
Fred Armisen,SXSW Flashback 2013,https://www.imdb.com/title/tt2920652/,,1,
Fred Armisen,Watch What Happens: Live,https://www.imdb.com/title/tt2057880/,,25,
Fred Armisen,Inside Portlandia,https://www.imdb.com/title/tt2427018/,,2,
Fred Armisen,Real Time with Bill Maher,https://www.imdb.com/title/tt0350448/,,15,
Fred Armisen,The Secret Policeman's Ball,https://www.imdb.com/title/tt2317255/,,7,
Fred Armisen,Late Night with Jimmy Fallon,https://www.imdb.com/title/tt1231460/,,45,
Fred Armisen,Talk Stoop,https://www.imdb.com/title/tt2268730/,,7,
Fred Armisen,Saturday Night Live Backstage,https://www.imdb.com/title/tt1899280/,,33,
Fred Armisen,The Wendy Williams Show,https://www.imdb.com/title/tt1261356/,,18,
Fred Armisen,Larry King Live,https://www.imdb.com/title/tt0088550/,,11,
Fred Armisen,Saturday Night,https://www.imdb.com/title/tt1580427/,,10,
Fred Armisen,The 2009 Primetime Creative Arts Emmy Awards,https://www.imdb.com/title/tt1534916/,,2,
Fred Armisen,2009 MTV Movie Awards,https://www.imdb.com/title/tt1401689/,,4,
Fred Armisen,Late Night with Conan O'Brien,https://www.imdb.com/title/tt0106052/,,70,
Fred Armisen,Charlie Rose,https://www.imdb.com/title/tt0270116/,,16,
Fred Armisen,Largo,https://www.imdb.com/title/tt0924510/,,1,
Fred Armisen,The Making of 'the Pick of Destiny',https://www.imdb.com/title/tt0972849/,,3,
Fred Armisen,Saturday Night Live: The Best of Saturday TV Funhouse,https://www.imdb.com/title/tt0818577/,,8,
Fred Armisen,New York Noise,https://www.imdb.com/title/tt0449459/,,2,
Fred Armisen,Looking for a Thrill: An Anthology of Inspiration,https://www.imdb.com/title/tt0448234/,,1,
Fred Armisen,The Staten Island Comedy Show,https://www.imdb.com/title/tt7830382/,,2,
Fred Armisen,I Am Trying to Break Your Heart,https://www.imdb.com/title/tt0327920/,,1,
Fred Armisen,Fred,https://www.imdb.com/title/tt0490721/,,3,
Dan Aykroyd,Blues Brothers,https://www.imdb.com/title/tt5688136/,,2,
Dan Aykroyd,Untitled Animated Ghostbusters Project,https://www.imdb.com/title/tt5079462/,,1,
Dan Aykroyd,A Fandemic: 50 Fans Celebrate 50 Years of Cinema,https://www.imdb.com/title/tt13892710/,,2,
Dan Aykroyd,Ghostbusters: Station 6,https://www.imdb.com/title/tt4165184/,,1,
Dan Aykroyd,Ghostbusters: Sanctum of Slime,https://www.imdb.com/title/tt1999169/,,1,
Dan Aykroyd,The Ghostbusters of New Hampshire: Spilled Milk,https://www.imdb.com/title/tt1773737/,,1,
Dan Aykroyd,Extreme Ghostbusters: The Ultimate Invasion,https://www.imdb.com/title/tt0479026/,,1,
Dan Aykroyd,Saturday Night Live: The Best of Steve Martin,https://www.imdb.com/title/tt0255576/,,2,
Dan Aykroyd,The Real Ghostbusters,https://www.imdb.com/title/tt0090506/,,1,
Dan Aykroyd,Cartoon All-Stars to the Rescue,https://www.imdb.com/title/tt0154129/,,1,
Dan Aykroyd,Dragnet,https://www.imdb.com/title/tt0092925/,,2,
Dan Aykroyd,Ghostbusters,https://www.imdb.com/title/tt0355479/,,1,
Dan Aykroyd,Steve Martin's Best Show Ever,https://www.imdb.com/title/tt0356076/,,8,
Dan Aykroyd,Saturday Night Live,https://www.imdb.com/title/tt0072562/,,232,
Dan Aykroyd,Ghostbusters: Afterlife,https://www.imdb.com/title/tt4513678/,,4,
Dan Aykroyd,The Simpsons,https://www.imdb.com/title/tt0096697/,,23,
Dan Aykroyd,Workin' Moms,https://www.imdb.com/title/tt6143796/,,1,
Dan Aykroyd,Ghostbusters: Answer the Call,https://www.imdb.com/title/tt1289401/,,6,
Dan Aykroyd,Pixels,https://www.imdb.com/title/tt2120120/,,2,
Dan Aykroyd,Get on Up,https://www.imdb.com/title/tt2473602/,,1,
Dan Aykroyd,The Game Changer,https://www.imdb.com/title/tt3205134/,,1,
