title,imdb_link,credits_count,snl_alums,cast_count
The Smurfs: A Christmas Carol,https://www.imdb.com/title/tt2062677/,1,['Fred Armisen'],1
The Smurfs,https://www.imdb.com/title/tt0472181/,1,['Fred Armisen'],1
Your Pretty Face Is Going to Hell,https://www.imdb.com/title/tt1828357/,1,['Fred Armisen'],1
Cats & Dogs: The Revenge of Kitty Galore,https://www.imdb.com/title/tt1287468/,1,['Fred Armisen'],1
"Tim and Eric Awesome Show, Great Job!",https://www.imdb.com/title/tt0912343/,5,"['Fred Armisen', 'Andy Samberg', 'Bill Hader', 'Will Ferrell']",4
Presidential Reunion,https://www.imdb.com/title/tt1616155/,7,"['Dan Aykroyd', 'Darrell Hammond', 'Maya Rudolph', 'Chevy Chase', 'Fred Armisen', 'Will Ferrell', 'Dana Carvey']",7
Parks and Recreation,https://www.imdb.com/title/tt1266020/,11,"['Kyle Mooney', 'Horatio Sanz', 'Andy Samberg', 'Brad Hall', 'Rachel Dratch', 'Will Forte', 'Amy Poehler', 'Fred Armisen', 'Bill Murray']",9
Confessions of a Shopaholic,https://www.imdb.com/title/tt1093908/,3,"['Fred Armisen', 'Christine Ebersole', 'Joan Cusack']",3
Bang Blow & Stroke,https://www.imdb.com/title/tt1542994/,1,['Fred Armisen'],1
Christmas on Mars,https://www.imdb.com/title/tt0363240/,1,['Fred Armisen'],1
Baby Mama,https://www.imdb.com/title/tt0871426/,4,"['Fred Armisen', 'Amy Poehler', 'Tina Fey', 'Will Forte']",4
The Promotion,https://www.imdb.com/title/tt0803057/,1,['Fred Armisen'],1
Aqua Teen Hunger Force,https://www.imdb.com/title/tt0297494/,6,"['Bobby Moynihan', 'Rachel Dratch', 'Will Forte', 'Janeane Garofalo', 'Fred Armisen', 'Bill Hader']",6
Tim and Eric Nite Live,https://www.imdb.com/title/tt1188970/,2,"['Fred Armisen', 'Will Forte']",2
The Ex,https://www.imdb.com/title/tt0458364/,2,"['Fred Armisen', 'Amy Poehler']",2
Deck the Halls,https://www.imdb.com/title/tt0790604/,1,['Fred Armisen'],1
Griffin & Phoenix,https://www.imdb.com/title/tt0460812/,1,['Fred Armisen'],1
Kiss Me Again,https://www.imdb.com/title/tt0436460/,1,['Fred Armisen'],1
EuroTrip: Deleted Scenes,https://www.imdb.com/title/tt8984960/,1,['Fred Armisen'],1
"Wake Up, Ron Burgundy",https://www.imdb.com/title/tt0423505/,7,"['David Koechner', 'Amy Poehler', 'Laura Kightlinger', 'Maya Rudolph', 'Fred Armisen', 'Will Ferrell']",6
EuroTrip,https://www.imdb.com/title/tt0356150/,1,['Fred Armisen'],1
The Frank International Film Festival,https://www.imdb.com/title/tt0395151/,2,['Fred Armisen'],1
Los Espookys,https://www.imdb.com/title/tt7721046/,4,"['Fred Armisen', 'Laraine Newman']",2
Portlandia,https://www.imdb.com/title/tt1780441/,14,"['Bobby Moynihan', 'Jay Pharoah', 'Laurie Metcalf', 'Vanessa Bayer', 'Andy Samberg', 'Rachel Dratch', 'Maya Rudolph', 'Aidy Bryant', 'Fred Armisen', 'Seth Meyers', 'Bill Hader']",11
Fred,https://www.imdb.com/title/tt0490721/,3,['Fred Armisen'],1
This Fool,https://www.imdb.com/title/tt14440068/,1,['Fred Armisen'],1
Documentary Now!,https://www.imdb.com/title/tt4677934/,13,"['Bobby Moynihan', 'Tim Robinson', 'Taran Killam', 'Aidy Bryant', 'Fred Armisen', 'Seth Meyers', 'Bill Hader']",7
You Can Color Outside the Lines... the Big Boys,https://www.imdb.com/title/tt4364438/,1,['Fred Armisen'],1
The Tonight Show Starring Jimmy Fallon,https://www.imdb.com/title/tt3444938/,48,"['Laurie Metcalf', 'Colin Quinn', 'Molly Shannon', 'Rachel Dratch', 'Chris Rock', 'Mikey Day', 'Finesse Mitchell', 'Chris Kattan', 'Colin Jost', 'Mike Myers', 'Will Ferrell', 'Bobby Moynihan', 'Kevin Nealon', 'Jim Belushi', 'Andy Samberg', 'Chevy Chase', 'Michael Che', 'Bill Hader', 'Norm MacDonald', 'Seth Meyers', 'Abby Elliott', 'Bill Murray', 'Amy Poehler', 'Maya Rudolph', 'Aidy Bryant', 'Alex Moffat', 'Robert Downey Jr.', 'Kyle Mooney', 'Kate McKinnon', 'Jimmy Fallon', 'Tracy Morgan', 'Rob Riggle', 'Horatio Sanz', 'Dan Aykroyd', 'Dennis Miller', 'Will Forte', 'Adam Sandler', 'Chloe Fineman', 'Pete Davidson', 'Fred Armisen', 'Tina Fey', 'Michael McKean', 'Dana Carvey']",43
Top Chef,https://www.imdb.com/title/tt0765425/,2,"['Fred Armisen', 'Jimmy Fallon']",2
Festpocalypse!,https://www.imdb.com/title/tt14556900/,7,"['Mark McKinney', 'Rachel Dratch', 'Chris Elliott', 'Cheri Oteri', 'Fred Armisen', 'Tim Meadows', 'Dana Carvey']",7
The Sarah Silverman Podcast,https://www.imdb.com/title/tt13266354/,1,['Fred Armisen'],1
The At-Home Variety Show,https://www.imdb.com/title/tt12305028/,3,"['Fred Armisen', 'Amy Poehler']",2
Let's Go Crazy: The Grammy Salute to Prince,https://www.imdb.com/title/tt11591262/,2,"['Fred Armisen', 'Maya Rudolph']",2
Carpool Karaoke,https://www.imdb.com/title/tt6396082/,3,"['Fred Armisen', 'Maya Rudolph', 'Andy Samberg']",3
The Kacey Musgraves Christmas Show,https://www.imdb.com/title/tt11225428/,1,['Fred Armisen'],1
